X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
1,2016p072185_1,1.028723948,1.011963736,-0.016760212,2016p072185,1,35.65059662,3.26262868,243815.6578,10.869,1/27/2016 17:02,27,-29.684
2,2016p072185_2,0.997644991,0.989489123,-0.008155868,2016p072185,2,35.65059662,3.26262868,146022.3523,16.026,1/27/2016 17:02,27,-24.527
3,2016p072185_3,0.998427552,0.9818479,-0.016579653,2016p072185,3,35.65059662,3.26262868,100731.0104,26.63,1/27/2016 17:02,27,-13.923
4,2016p072185_4,1.017700452,0.999518481,-0.018181971,2016p072185,4,35.65059662,3.26262868,103800.3713,23.797,1/27/2016 17:02,27,-16.756
5,2016p072185_5,1.203752552,1.220382542,0.01662999,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27,-25.808
6,2016p085032_1,1.145723699,1.130018617,-0.015705083,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32,-31.536
7,2016p085032_2,1.062342019,1.047623406,-0.014718612,2016p085032,2,257.8292847,4.102486714,187384.7539,20.373,2/1/2016 11:07,32,-20.18
8,2016p085032_3,1.02984484,1.072821571,0.042976732,2016p085032,3,257.8292847,4.102486714,231398.9578,32.047,2/1/2016 11:07,32,-8.506
9,2016p085032_4,1.055015861,1.016205429,-0.038810432,2016p085032,4,257.8292847,4.102486714,263842.7604,25.561,2/1/2016 11:07,32,-14.992
10,2016p085032_5,1.211746445,1.218917929,0.007171484,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32,-28.869
11,2016p086432_1,1.086793416,1.092797398,0.006003982,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2016p086432_2,1.044734718,1.048657077,0.003922359,2016p086432,2,194.428299,3.697536299,124659.7797,16.352,2/1/2016 23:33,32,-24.201
13,2016p086432_3,1.070414821,0.99140211,-0.079012712,2016p086432,3,194.428299,3.697536299,170893.0446,25.853,2/1/2016 23:33,32,-14.7
14,2016p086432_4,1.025797579,1.015723378,-0.010074201,2016p086432,4,194.428299,3.697536299,200459.0981,18.313,2/1/2016 23:33,32,-22.24
15,2016p086432_5,1.155238792,1.151388251,-0.003850541,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2016p110956_1,1.106153299,1.111168613,0.005015313,2016p110956,1,5,3.758122064,219858.6473,15.011,2/11/2016 1:19,42,-25.542
17,2016p110956_2,0.982305796,0.966562222,-0.015743574,2016p110956,2,5,3.758122064,91316.85023,27.286,2/11/2016 1:19,42,-13.267
18,2016p110956_3,0.957313135,0.919816702,-0.037496433,2016p110956,3,5,3.758122064,63220.77268,40.054,2/11/2016 1:18,42,-0.499
