X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
19,2016p110956_4,0.994597706,1.020324151,0.025726445,2016p110956,4,5,3.758122064,145878.8259,28.664,2/11/2016 1:19,42,-11.889
20,2016p110956_5,1.233305547,1.23308522,-0.000220327,2016p110956,5,5,3.758122064,253808.928,15.199,2/11/2016 1:19,42,-25.354
21,2016p128172_1,1.027210772,1.015795118,-0.011415654,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2016p128172_2,0.992240112,1.001440636,0.009200524,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2016p128172_3,0.935473329,1.003876913,0.068403585,2016p128172,3,9.702926636,3.30248571,159846.3618,17.807,2/17/2016 10:12,48,-22.746
24,2016p128172_4,1.003489973,1.011389005,0.007899032,2016p128172,4,9.702926636,3.30248571,179328.1989,11.616,2/17/2016 10:12,48,-28.937
25,2016p128172_5,1.061231485,1.066106288,0.004874803,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2016p129367_1,0.976340895,1.037735388,0.061394493,2016p129367,1,8.772040367,3.025107617,96899.46399,12.512,2/17/2016 20:48,48,-28.041
27,2016p129367_2,0.979423219,0.986876677,0.007453457,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2016p129367_3,0.915761374,0.917286371,0.001524997,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2016p129367_4,0.983160851,0.962890783,-0.020270068,2016p129367,4,8.772040367,3.025107617,48087.38816,17.251,2/17/2016 20:48,48,-23.302
30,2016p129367_5,1.18713033,1.201680375,0.014550046,2016p129367,5,8.772040367,3.025107617,90059.94735,9.296,2/17/2016 20:48,48,-31.257
31,2016p143653_1,1.148538358,1.082700299,-0.065838059,2016p143653,1,194.3353729,3.291146744,132760.7749,8.609,2/23/2016 3:40,54,-31.944
32,2016p143653_2,1.082663995,1.083124523,0.000460528,2016p143653,2,194.3353729,3.291146744,73237.05015,16.653,2/23/2016 3:40,54,-23.9
33,2016p143653_3,0.979474618,1.110626512,0.131151893,2016p143653,3,194.3353729,3.291146744,76394.26998,23.591,2/23/2016 3:40,54,-16.962
34,2016p143653_4,1.117091332,1.118532271,0.001440939,2016p143653,4,194.3353729,3.291146744,13280.77547,24.712,2/23/2016 3:40,54,-15.841
35,2016p143653_5,1.226074194,1.197120142,-0.028954052,2016p143653,5,194.3353729,3.291146744,114709.4637,10.761,2/23/2016 3:40,54,-29.792
36,2016p160705_1,1.118619959,1.096756984,-0.021862976,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2016p160705_2,1.101917196,1.111220381,0.009303185,2016p160705,2,19.79110527,3.171582444,159331.8795,8.307,2/29/2016 11:05,60,-32.246
38,2016p160705_3,1.010154309,0.993009166,-0.017145142,2016p160705,3,19.79110527,3.171582444,108722.7931,19.632,2/29/2016 11:05,60,-20.921
39,2016p160705_4,1.088259011,1.087245118,-0.001013893,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60,-32.625
40,2016p160705_5,1.136107746,1.13919284,0.003085094,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2016p162941_1,1.050179281,1.038196535,-0.011982746,2016p162941,1,11.76574802,3.135690182,170725.9449,8.521,3/1/2016 6:57,61,-32.032
42,2016p162941_2,1.047539404,1.050471198,0.002931794,2016p162941,2,11.76574802,3.135690182,49130.79583,19.617,3/1/2016 6:56,61,-20.936
43,2016p162941_3,1.035138864,1.072643225,0.037504361,2016p162941,3,11.76574802,3.135690182,58089.22636,35.871,3/1/2016 6:56,61,-4.682
44,2016p162941_4,1.047217488,1.104982782,0.057765294,2016p162941,4,11.76574802,3.135690182,126550.416,16.557,3/1/2016 6:56,61,-23.996
45,2016p162941_5,1.137476285,1.10038149,-0.037094795,2016p162941,5,11.76574802,3.135690182,226990.4519,5.467,3/1/2016 6:57,61,-35.086
46,2016p180035_1,1.059032088,1.124538162,0.065506073,2016p180035,1,25.82084084,3.186169287,342227.6164,6.672,3/7/2016 14:45,67,-33.881
47,2016p180035_2,1.1015188,1.083657134,-0.017861665,2016p180035,2,25.82084084,3.186169287,244736.5074,8.148,3/7/2016 14:44,67,-32.405
48,2016p180035_3,0.98625236,0.978747953,-0.007504407,2016p180035,3,25.82084084,3.186169287,196003.8141,18.209,3/7/2016 14:44,67,-22.344
49,2016p180035_4,1.079791245,1.106802102,0.027010857,2016p180035,4,25.82084084,3.186169287,200258.9395,13.009,3/7/2016 14:44,67,-27.544
50,2016p180035_5,1.110164017,1.136521231,0.026357215,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67,-31.994
51,2016p183087_1,1.011910353,0.966467657,-0.045442697,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2016p183087_2,1.092716526,1.050228584,-0.042487942,2016p183087,2,14.7265625,3.071433717,135592.5724,11.426,3/8/2016 17:50,68,-29.127
53,2016p183087_3,1.070054463,0.985575134,-0.084479329,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2016p183087_4,1.065842759,1.046918845,-0.018923915,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68,-30.419
55,2016p183087_5,1.036163127,1.044909603,0.008746477,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2016p205021_1,1.100696209,1.110889919,0.01019371,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2016p205021_2,1.020896852,1.085347707,0.064450856,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2016p205021_3,1.036058066,1.119304188,0.083246123,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2016p205021_4,1.120544507,1.138035703,0.017491196,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76,-33.45
60,2016p205021_5,1.103987796,1.103896128,-9.17E-05,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76,-34.191
61,2016p219547_1,1.108418686,1.10273006,-0.005688626,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2016p219547_2,1.167129768,1.182923305,0.015793537,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82,-32.323
63,2016p219547_3,1.098235449,1.07789936,-0.020336089,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76,-32.595
64,2016p219547_3,1.098235449,1.07789936,-0.020336089,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82,-25.145
65,2016p219547_4,1.152912319,1.18501788,0.03210556,2016p219547,4,23.984375,3.780000638,210737.7919,14.903,3/22/2016 5:36,82,-25.65
66,2016p219547_5,1.139452877,1.14315847,0.003705593,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82,-31.944
67,2016p223944_1,1.056520351,0.985838287,-0.070682064,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83,-27.732
68,2016p223944_2,1.131978573,1.076073999,-0.055904574,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83,-22.555
69,2016p223944_3,1.14549129,1.223079335,0.077588045,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83,-18.532
70,2016p223944_4,1.132130882,1.123854985,-0.008275897,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83,-26.814
71,2016p223944_5,1.124713461,1.115730762,-0.0089827,2016p223944,5,27.1484375,3.439265874,266159.9271,6.517,3/23/2016 20:39,83,-34.036
72,2016p242416_1,1.081255045,1.09329692,0.012041875,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2016p242416_2,1.045056489,1.101707124,0.056650635,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2016p242416_3,1.169867287,1.143453593,-0.026413694,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90,-34.899
75,2016p242416_4,1.11444728,1.144778004,0.030330724,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90,-33.683
76,2016p242416_5,1.139811957,1.121197073,-0.018614885,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90,-37.076
77,2016p263259_1,1.148532957,1.132219038,-0.016313919,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2016p263259_2,1.081094016,1.063417116,-0.017676899,2016p263259,2,9.487145424,3.247858798,168682.2442,9.813,4/7/2016 9:46,98,-30.74
79,2016p263259_3,1.094594619,1.062246932,-0.032347687,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98,-16.858
80,2016p263259_4,1.179140776,1.170928484,-0.008212292,2016p263259,4,9.487145424,3.247858798,152953.7292,13.457,4/7/2016 9:46,98,-27.096
81,2016p263259_5,1.17153034,1.157425898,-0.014104441,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2016p283637_1,1.083487351,1.03742667,-0.046060681,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105,-30.005
83,2016p283637_2,1.188244759,1.183316476,-0.004928283,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105,-21.581
84,2016p283637_3,1.100619553,1.087550782,-0.013068771,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105,-12.672
85,2016p283637_4,1.1704697,1.180865064,0.010395363,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105,-14.815
86,2016p283637_5,1.196478608,1.206691346,0.010212738,2016p283637,5,147.9259491,3.485644509,236937.4491,10.404,4/14/2016 22:44,105,-30.149
87,2016p300395_1,1.05825516,1.054913013,-0.003342147,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2016p300395_2,1.194078735,1.190017292,-0.004061443,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112,-33.276
89,2016p300395_3,1.236854273,1.142786285,-0.094067988,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112,-24.012
90,2016p300395_4,1.180892979,1.195681908,0.014788929,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112,-29.788
91,2016p300395_5,1.153026269,1.172513464,0.019487195,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2016p303279_1,1.108872498,1.155681249,0.046808751,2016p303279,1,22.19772911,3.052875824,148258.1818,8.927,4/22/2016 5:08,113,-31.626
93,2016p303279_2,1.205205583,1.257711148,0.052505564,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113,-24.367
94,2016p303279_3,1.221814843,1.162249063,-0.05956578,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113,-20.569
95,2016p303279_4,1.195509647,1.229376373,0.033866726,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113,-28.959
96,2016p303279_5,1.156451679,1.173263041,0.016811362,2016p303279,5,22.19772911,3.052875824,249104.1541,6.235,4/22/2016 5:08,113,-34.318
97,2016p316432_1,1.115396116,1.111863173,-0.003532943,2016p316432,1,93.63026428,3.333907955,146386.9101,20.316,4/27/2016 1:57,118,-20.237
98,2016p316432_2,1.224857909,1.211592688,-0.013265221,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118,-18.854
99,2016p316432_3,1.242663322,1.241473986,-0.001189336,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118,-13.692
100,2016p316432_4,1.220852341,1.173203212,-0.04764913,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118,-21.795
101,2016p316432_5,1.149677103,1.140982068,-0.008695035,2016p316432,5,93.63026428,3.333907955,206862.1918,8.263,4/27/2016 1:57,118,-32.29
102,2016p336534_1,1.155844166,1.136694365,-0.019149802,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2016p336534_2,1.121064316,1.176682762,0.055618447,2016p336534,2,194.5833435,3.106123037,45093.0577,12.171,5/4/2016 12:26,125,-28.382
104,2016p336534_3,1.085548235,1.178704643,0.093156408,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125,-17.691
105,2016p336534_4,1.146534206,1.141617675,-0.004916531,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125,-22.779
106,2016p336534_5,1.18703172,1.17129978,-0.01573194,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125,-34.17
107,2016p337803_1,1.146019173,1.155050332,0.009031159,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,2016p337803_2,1.042441607,1.087110999,0.044669392,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125,-23.008
109,2016p337803_3,0.982152228,1.032755562,0.050603334,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125,-8.398
110,2016p337803_4,1.161600098,1.192098847,0.03049875,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125,-23.822
111,2016p337803_5,1.189740214,1.204912578,0.015172364,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2016p361097_1,1.155961853,1.161776889,0.005815036,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,2016p361097_2,1.076065094,1.088151973,0.012086879,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134,-24.635
114,2016p361097_3,1.09073162,1.093484429,0.002752809,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134,-26.135
115,2016p361097_4,1.153458063,1.157706817,0.004248753,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134,-30.896
116,2016p361097_5,1.167397481,1.167636969,0.000239488,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2016p389145_1,1.174537329,1.182691281,0.008153952,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144,-21.706
118,2016p389145_2,1.156940381,1.062275666,-0.094664715,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144,-13.503
119,2016p389145_3,1.166626456,1.013554995,-0.153071461,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144,-8.831
120,2016p389145_4,1.265454052,1.231854603,-0.033599448,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144,-8.645
121,2016p389145_5,1.161807334,1.202913373,0.041106039,2016p389145,5,75.84237671,3.230236853,165101.2966,19.599,5/23/2016 23:37,144,-20.954
122,2016p397820_1,1.175226762,1.14227404,-0.032952722,2016p397820,1,135.8382874,3.421201313,249864.9647,9.165,5/27/2016 4:39,148,-31.388
123,2016p397820_2,0.968980532,0.985447435,0.016466903,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2016p397820_3,1.031633318,1.068839996,0.037206679,2016p397820,3,135.8382874,3.421201313,164071.1261,19.86,5/27/2016 4:39,148,-20.693
125,2016p397820_4,1.102774546,1.215452739,0.112678194,2016p397820,4,135.8382874,3.421201313,116319.9556,17.953,5/27/2016 4:39,148,-22.6
126,2016p397820_5,1.206884083,1.235289279,0.028405196,2016p397820,5,135.8382874,3.421201313,144110.2255,9.576,5/27/2016 4:39,148,-30.977
127,2016p418574_1,1.178731831,1.172190824,-0.006541008,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2016p418574_2,1.223302291,1.084750997,-0.138551294,2016p418574,2,189.222641,3.42426739,47563.18009,10.413,6/3/2016 20:57,155,-30.14
129,2016p418574_3,1.19759889,1.102778266,-0.094820624,2016p418574,3,189.222641,3.42426739,97148.75627,19.722,6/3/2016 20:57,155,-20.831
130,2016p418574_4,1.272198297,1.24608926,-0.026109037,2016p418574,4,189.222641,3.42426739,92944.89633,16.376,6/3/2016 20:57,155,-24.177
131,2016p418574_5,1.210424616,1.182424868,-0.027999748,2016p418574,5,189.222641,3.42426739,159016.6728,6.048,6/3/2016 20:57,155,-34.505
132,2016p427491_1,1.063267223,1.138473184,0.075205961,2016p427491,1,85.86700439,3.678503189,136465.2936,22.361,6/7/2016 4:08,159,-18.192
133,2016p427491_2,1.080414375,1.175025197,0.094610822,2016p427491,2,85.86700439,3.678503189,8029.151108,30.702,6/7/2016 4:08,159,-9.851
134,2016p427491_3,1.006704271,0.998120352,-0.008583919,2016p427491,3,85.86700439,3.678503189,44431.60903,32.215,6/7/2016 4:08,159,-8.338
135,2016p427491_4,1.164167823,1.238160706,0.073992883,2016p427491,4,85.86700439,3.678503189,82829.07216,28.822,6/7/2016 4:08,159,-11.731
136,2016p427491_5,1.119102906,1.153388247,0.03428534,2016p427491,5,85.86700439,3.678503189,180048.4805,15.227,6/7/2016 4:08,159,-25.326
137,2016p438469_1,1.142963016,1.142998681,3.57E-05,2016p438469,1,13.45981407,3.292279163,172786.9681,10.657,6/11/2016 5:37,163,-29.896
138,2016p438469_2,1.127455307,1.057357559,-0.070097749,2016p438469,2,13.45981407,3.292279163,48546.81839,20.272,6/11/2016 5:36,163,-20.281
139,2016p438469_3,1.086432379,1.104223399,0.01779102,2016p438469,3,13.45981407,3.292279163,52630.28857,29.016,6/11/2016 5:36,163,-11.537
140,2016p438469_4,1.160007862,1.167655348,0.007647486,2016p438469,4,13.45981407,3.292279163,123160.7474,14.816,6/11/2016 5:37,163,-25.737
141,2016p438469_5,1.077532822,1.082966361,0.005433539,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2016p445360_1,1.10073252,1.102864875,0.002132355,2016p445360,1,5,3.401255055,180865.3087,10.355,6/13/2016 18:48,165,-30.198
143,2016p445360_2,1.058085355,1.042065561,-0.016019793,2016p445360,2,5,3.401255055,172697.5883,14.421,6/13/2016 18:48,165,-26.132
144,2016p445360_3,1.109757795,1.118016204,0.008258409,2016p445360,3,5,3.401255055,215127.0432,16.313,6/13/2016 18:48,165,-24.24
145,2016p445360_4,1.030530583,0.989906604,-0.040623979,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,2016p445360_5,1.089030077,1.118791312,0.029761236,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2016p452435_1,1.092795742,1.104222828,0.011427086,2016p452435,1,16.12910271,3.431327528,198273.4196,11.672,6/16/2016 9:38,168,-28.881
148,2016p452435_2,1.067364731,1.060874815,-0.006489917,2016p452435,2,16.12910271,3.431327528,77569.36961,26.254,6/16/2016 9:38,168,-14.299
149,2016p452435_3,1.03831543,1.092699575,0.054384145,2016p452435,3,16.12910271,3.431327528,73730.85789,39.604,6/16/2016 9:38,168,-0.949
150,2016p452435_4,1.116915479,1.125411238,0.008495759,2016p452435,4,16.12910271,3.431327528,150519.7315,22.354,6/16/2016 9:38,168,-18.199
151,2016p452435_5,1.166989808,1.170307442,0.003317633,2016p452435,5,16.12910271,3.431327528,253750.7341,8.918,6/16/2016 9:38,168,-31.635
152,2016p470092_1,1.099348794,1.103562798,0.004214004,2016p470092,1,25.71006966,3.001803294,166417.7748,12.907,6/22/2016 22:25,174,-27.646
153,2016p470092_2,1.083497178,1.062429009,-0.021068169,2016p470092,2,25.71006966,3.001803294,61977.22876,23.294,6/22/2016 22:25,174,-17.259
154,2016p470092_3,1.076040923,1.053205427,-0.022835496,2016p470092,3,25.71006966,3.001803294,84574.70713,32.528,6/22/2016 22:25,174,-8.025
155,2016p470092_4,1.157123838,1.181361191,0.024237353,2016p470092,4,25.71006966,3.001803294,146007.5838,21.138,6/22/2016 22:25,174,-19.415
156,2016p470092_5,1.186138396,1.122958093,-0.063180303,2016p470092,5,25.71006966,3.001803294,240603.1912,9.332,6/22/2016 22:26,174,-31.221
157,2016p484154_1,1.174964079,1.168029157,-0.006934921,2016p484154,1,64.13944244,3.472038397,181555.77,19.959,6/28/2016 3:18,180,-20.594
158,2016p484154_2,1.185128157,1.142202425,-0.042925732,2016p484154,2,64.13944244,3.472038397,53002.43272,28.477,6/28/2016 3:17,180,-12.076
159,2016p484154_3,1.095799013,1.067965591,-0.027833421,2016p484154,3,64.13944244,3.472038397,16297.21611,40.553,6/28/2016 3:17,180,0
160,2016p484154_4,1.233494878,1.216693947,-0.016800931,2016p484154,4,64.13944244,3.472038397,97944.87676,30.824,6/28/2016 3:17,180,-9.729
161,2016p484154_5,1.21347541,1.220059778,0.006584367,2016p484154,5,64.13944244,3.472038397,205496.1992,17.642,6/28/2016 3:18,180,-22.911
