X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
1,2016p072185_3,3,0,-3,-8.373,NA,NA,2016p072185,3,35.65059662,3.26262868,100731.0104,26.63,1/27/2016 17:02,27,-13.923,-48.926,NA,NA
2,2016p072185_4,1,1,0,-15.253,-14.416,0.837,2016p072185,4,35.65059662,3.26262868,103800.3713,23.797,1/27/2016 17:02,27,-16.756,-55.806,-54.969,0.837
3,2016p072185_5,216,49,-167,-9.502875,-11.76622449,-2.26334949,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27,-25.808,-50.055875,-52.31922449,-2.26334949
4,2016p085032_1,9,2,-7,-16.17044444,-19.945,-3.774555556,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32,-31.536,-56.72344444,-60.498,-3.77455556
5,2016p085032_3,3,0,-3,-17.07733333,NA,NA,2016p085032,3,257.8292847,4.102486714,231398.9578,32.047,2/1/2016 11:07,32,-8.506,-57.63033333,NA,NA
6,2016p085032_4,2,3,1,-3.1635,-11.76833333,-8.604833333,2016p085032,4,257.8292847,4.102486714,263842.7604,25.561,2/1/2016 11:07,32,-14.992,-43.7165,-52.32133333,-8.60483333
7,2016p085032_5,189,133,-56,-14.48295238,-15.86187218,-1.378919799,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32,-28.869,-55.03595238,-56.41487218,-1.3789198
8,2016p086432_1,12,3,-9,-18.37791667,-15.99,2.387916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.93091667,-56.543,2.38791667
9,2016p086432_3,1,0,-1,-19.449,NA,NA,2016p086432,3,194.428299,3.697536299,170893.0446,25.853,2/1/2016 23:33,32,-14.7,-60.002,NA,NA
10,2016p086432_5,375,100,-275,-14.321616,-13.47509,0.846526,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.874616,-54.02809,0.846526
11,2016p110956_2,175,38,-137,-19.12064571,-13.41605263,5.704593083,2016p110956,2,5,3.758122064,91316.85023,27.286,2/11/2016 1:19,42,-13.267,-59.67364571,-53.96905263,5.70459308
12,2016p110956_3,145,14,-131,-17.54371034,-11.26207143,6.281638916,2016p110956,3,5,3.758122064,63220.77268,40.054,2/11/2016 1:18,42,-0.499,-58.09671034,-51.81507143,6.28163891
13,2016p110956_4,50,191,141,-11.73722,-7.58004712,4.15717288,2016p110956,4,5,3.758122064,145878.8259,28.664,2/11/2016 1:19,42,-11.889,-52.29022,-48.13304712,4.15717288
14,2016p110956_5,6,88,82,-9.3165,-12.99465909,-3.678159091,2016p110956,5,5,3.758122064,253808.928,15.199,2/11/2016 1:19,42,-25.354,-49.8695,-53.54765909,-3.67815909
15,2016p128172_5,16,1,-15,-10.7018125,-11.987,-1.2851875,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.2548125,-52.54,-1.2851875
16,2016p129367_1,11,21,10,-11.82209091,-18.24014286,-6.418051948,2016p129367,1,8.772040367,3.025107617,96899.46399,12.512,2/17/2016 20:48,48,-28.041,-52.37509091,-58.79314286,-6.41805195
17,2016p129367_2,1,0,-1,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.37,NA,NA
18,2016p129367_3,2,3,1,-17.543,-21.827,-4.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.096,-62.38,-4.284
19,2016p129367_4,9,1,-8,-7.181444444,-17.772,-10.59055556,2016p129367,4,8.772040367,3.025107617,48087.38816,17.251,2/17/2016 20:48,48,-23.302,-47.73444444,-58.325,-10.59055556
20,2016p129367_5,13,51,38,-16.93646154,-15.75452941,1.181932127,2016p129367,5,8.772040367,3.025107617,90059.94735,9.296,2/17/2016 20:48,48,-31.257,-57.48946154,-56.30752941,1.18193213
21,2016p143653_1,4,18,14,-11.7465,-14.25622222,-2.509722222,2016p143653,1,194.3353729,3.291146744,132760.7749,8.609,2/23/2016 3:40,54,-31.944,-52.2995,-54.80922222,-2.50972222
22,2016p143653_2,13,23,10,-21.00761538,-21.14417391,-0.136558528,2016p143653,2,194.3353729,3.291146744,73237.05015,16.653,2/23/2016 3:40,54,-23.9,-61.56061538,-61.69717391,-0.13655853
23,2016p143653_3,15,14,-1,-13.82333333,-18.81257143,-4.989238095,2016p143653,3,194.3353729,3.291146744,76394.26998,23.591,2/23/2016 3:40,54,-16.962,-54.37633333,-59.36557143,-4.9892381
24,2016p143653_4,27,26,-1,-12.99762963,-14.83676923,-1.839139601,2016p143653,4,194.3353729,3.291146744,13280.77547,24.712,2/23/2016 3:40,54,-15.841,-53.55062963,-55.38976923,-1.8391396
25,2016p143653_5,17,10,-7,-22.19082353,-17.3955,4.795323529,2016p143653,5,194.3353729,3.291146744,114709.4637,10.761,2/23/2016 3:40,54,-29.792,-62.74382353,-57.9485,4.79532353
26,2016p160705_1,68,17,-51,-23.02519118,-18.66529412,4.359897059,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.57819118,-59.21829412,4.35989706
27,2016p160705_2,45,6,-39,-16.43095556,-18.21866667,-1.787711111,2016p160705,2,19.79110527,3.171582444,159331.8795,8.307,2/29/2016 11:05,60,-32.246,-56.98395556,-58.77166667,-1.78771111
28,2016p160705_3,22,5,-17,-12.28927273,-14.7658,-2.476527273,2016p160705,3,19.79110527,3.171582444,108722.7931,19.632,2/29/2016 11:05,60,-20.921,-52.84227273,-55.3188,-2.47652727
29,2016p160705_4,43,7,-36,-13.56976744,-14.74128571,-1.171518272,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60,-32.625,-54.12276744,-55.29428571,-1.17151827
30,2016p160705_5,16,4,-12,-20.82975,-17.1665,3.66325,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.38275,-57.7195,3.66325
31,2016p162941_1,2,7,5,-13.9605,-13.56542857,0.395071429,2016p162941,1,11.76574802,3.135690182,170725.9449,8.521,3/1/2016 6:57,61,-32.032,-54.5135,-54.11842857,0.39507143
32,2016p162941_2,4,4,0,-17.286,-16.16725,1.11875,2016p162941,2,11.76574802,3.135690182,49130.79583,19.617,3/1/2016 6:56,61,-20.936,-57.839,-56.72025,1.11875
33,2016p162941_3,26,15,-11,-5.615269231,-12.3514,-6.736130769,2016p162941,3,11.76574802,3.135690182,58089.22636,35.871,3/1/2016 6:56,61,-4.682,-46.16826923,-52.9044,-6.736130769
34,2016p162941_4,38,13,-25,-11.90307895,-12.46392308,-0.56084413,2016p162941,4,11.76574802,3.135690182,126550.416,16.557,3/1/2016 6:56,61,-23.996,-52.45607895,-53.01692308,-0.56084413
35,2016p162941_5,23,2,-21,-19.836,-15.784,4.052,2016p162941,5,11.76574802,3.135690182,226990.4519,5.467,3/1/2016 6:57,61,-35.086,-60.389,-56.337,4.052
36,2016p180035_1,15,2,-13,-13.20393333,-19.397,-6.193066667,2016p180035,1,25.82084084,3.186169287,342227.6164,6.672,3/7/2016 14:45,67,-33.881,-53.75693333,-59.95,-6.19306667
