X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
37,2016p180035_2,33,191,158,-9.039515152,-12.85607853,-3.816563383,2016p180035,2,25.82084084,3.186169287,244736.5074,8.148,3/7/2016 14:44,67,-32.405,-49.59251515,-53.40907853,-3.816563378
38,2016p180035_3,47,189,142,-9.875234043,-4.596830688,5.278403355,2016p180035,3,25.82084084,3.186169287,196003.8141,18.209,3/7/2016 14:44,67,-22.344,-50.42823404,-45.14983069,5.278403355
39,2016p180035_4,1,28,27,-8.368,-12.88860714,-4.520607143,2016p180035,4,25.82084084,3.186169287,200258.9395,13.009,3/7/2016 14:44,67,-27.544,-48.921,-53.44160714,-4.52060714
40,2016p180035_5,49,45,-4,-13.74338776,-17.8368,-4.093412245,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67,-31.994,-54.29638776,-58.3898,-4.09341224
41,2016p183087_2,2,25,23,-18.1915,-17.08648,1.10502,2016p183087,2,14.7265625,3.071433717,135592.5724,11.426,3/8/2016 17:50,68,-29.127,-58.7445,-57.63948,1.10502
42,2016p183087_3,20,14,-6,-3.25235,-2.727357143,0.524992857,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.80535,-43.28035714,0.524992857
43,2016p183087_4,5,15,10,-5.884,-8.420466667,-2.536466667,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68,-30.419,-46.437,-48.97346667,-2.536466667
44,2016p183087_5,34,73,39,-6.334264706,-15.13891781,-8.804653102,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.88726471,-55.69191781,-8.804653104
45,2016p205021_1,53,18,-35,-12.61371698,-15.77838889,-3.164671908,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.16671698,-56.33138889,-3.16467191
46,2016p205021_2,13,3,-10,-16.28538462,-18.85733333,-2.571948718,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.83838462,-59.41033333,-2.57194871
47,2016p205021_3,4,2,-2,-14.99825,-19.112,-4.11375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.55125,-59.665,-4.11375
48,2016p205021_4,78,27,-51,-13.07153846,-15.04962963,-1.978091168,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76,-33.45,-53.62453846,-55.60262963,-1.97809117
49,2016p205021_5,20,20,0,-11.76255,-13.38315,-1.6206,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76,-34.191,-52.31555,-53.93615,-1.6206
50,2016p219547_2,18,114,96,-15.70544444,-14.48107018,1.224374269,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82,-32.323,-56.25844444,-55.03407018,1.22437426
51,2016p219547_3,85,217,132,-12.06012941,-14.88639631,-2.826266902,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76,-32.595,-52.61312941,-55.43939631,-2.8262669
52,2016p219547_3,85,217,132,-12.06012941,-14.88639631,-2.826266902,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82,-25.145,-52.61312941,-55.43939631,-2.8262669
53,2016p219547_5,10,40,30,-10.396,-9.544275,0.851725,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82,-31.944,-50.949,-50.097275,0.851725
54,2016p223944_1,15,1,-14,-14.52026667,-13.175,1.345266667,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83,-27.732,-55.07326667,-53.728,1.34526667
55,2016p223944_2,10,15,5,-15.055,-17.32873333,-2.273733333,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83,-22.555,-55.608,-57.88173333,-2.27373333
56,2016p223944_3,113,225,112,-7.561442478,-8.017373333,-0.455930855,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83,-18.532,-48.11444248,-48.57037333,-0.455930855
57,2016p223944_4,22,22,0,-10.25113636,-10.51754545,-0.266409091,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83,-26.814,-50.80413636,-51.07054545,-0.26640909
58,2016p223944_5,2,5,3,-13.255,-12.2502,1.0048,2016p223944,5,27.1484375,3.439265874,266159.9271,6.517,3/23/2016 20:39,83,-34.036,-53.808,-52.8032,1.0048
59,2016p242416_2,67,146,79,-18.01862687,-16.61134247,1.4072844,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.57162687,-57.16434247,1.4072844
60,2016p242416_3,391,240,-151,-10.79632481,-4.017229167,6.779095642,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90,-34.899,-51.34932481,-44.57022917,6.779095643
61,2016p242416_4,10,26,16,-11.1722,-11.38061538,-0.208415385,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90,-33.683,-51.7252,-51.93361538,-0.20841538
62,2016p242416_5,12,31,19,-18.02575,-16.92254839,1.103201613,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90,-37.076,-58.57875,-57.47554839,1.10320161
63,2016p263259_1,10,16,6,-14.1278,-16.0095625,-1.8817625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.6808,-56.5625625,-1.8817625
64,2016p263259_2,41,20,-21,-17.0632439,-14.2908,2.772443902,2016p263259,2,9.487145424,3.247858798,168682.2442,9.813,4/7/2016 9:46,98,-30.74,-57.6162439,-54.8438,2.7724439
65,2016p263259_3,107,10,-97,-10.78883178,-10.7953,-0.006468224,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98,-16.858,-51.34183178,-51.3483,-0.00646822
66,2016p263259_4,20,26,6,-5.139,-3.834807692,1.304192308,2016p263259,4,9.487145424,3.247858798,152953.7292,13.457,4/7/2016 9:46,98,-27.096,-45.692,-44.38780769,1.304192308
67,2016p263259_5,136,136,0,-14.17718382,-11.71704412,2.460139706,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.73018382,-52.27004412,2.4601397
68,2016p283637_1,8,5,-3,-16.10125,-18.9968,-2.89555,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105,-30.005,-56.65425,-59.5498,-2.89555
69,2016p283637_2,159,227,68,-17.30973585,-13.58776652,3.721969329,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105,-21.581,-57.86273585,-54.14076652,3.72196933
70,2016p283637_3,171,155,-16,-7.95902924,-2.48136129,5.477667949,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105,-12.672,-48.51202924,-43.03436129,5.47766795
71,2016p283637_4,138,192,54,-7.733137681,-7.191697917,0.541439764,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105,-14.815,-48.28613768,-47.74469792,0.541439764
72,2016p283637_5,2,6,4,-15.1465,-18.28833333,-3.141833333,2016p283637,5,147.9259491,3.485644509,236937.4491,10.404,4/14/2016 22:44,105,-30.149,-55.6995,-58.84133333,-3.14183333
73,2016p300395_1,4,1,-3,-17.1475,-2.22,14.9275,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.7005,-42.773,14.9275
74,2016p300395_2,98,216,118,-19.66132653,-19.74147685,-0.080150321,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112,-33.276,-60.21432653,-60.29447685,-0.08015032
75,2016p300395_3,173,294,121,-4.992884393,-4.79585034,0.197034053,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112,-24.012,-45.54588439,-45.34885034,0.197034053
76,2016p300395_4,72,78,6,-15.30241667,-15.68721795,-0.384801282,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112,-29.788,-55.85541667,-56.24021795,-0.38480128
77,2016p300395_5,3,8,5,-15.02033333,-18.27225,-3.251916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.57333333,-58.82525,-3.25191667
78,2016p303279_2,86,107,21,-17.75066279,-19.20481308,-1.454150293,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113,-24.367,-58.30366279,-59.75781308,-1.45415029
79,2016p303279_3,171,317,146,-8.869116959,-8.179012618,0.690104341,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113,-20.569,-49.42211696,-48.73201262,0.690104341
80,2016p303279_4,36,82,46,-16.69047222,-16.03195122,0.658521003,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113,-28.959,-57.24347222,-56.58495122,0.658521
81,2016p303279_5,7,1,-6,-19.417,-16.03,3.387,2016p303279,5,22.19772911,3.052875824,249104.1541,6.235,4/22/2016 5:08,113,-34.318,-59.97,-56.583,3.387
82,2016p316432_1,2,5,3,-14.489,-13.2868,1.2022,2016p316432,1,93.63026428,3.333907955,146386.9101,20.316,4/27/2016 1:57,118,-20.237,-55.042,-53.8398,1.2022
83,2016p316432_2,110,247,137,-19.08655455,-17.2961336,1.790420942,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118,-18.854,-59.63955455,-57.8491336,1.79042095
84,2016p316432_3,294,335,41,-11.0080034,-8.999301493,2.008701909,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118,-13.692,-51.5610034,-49.55230149,2.008701907
85,2016p316432_4,83,150,67,-15.68185542,-8.188953333,7.492902088,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118,-21.795,-56.23485542,-48.74195333,7.492902087
86,2016p316432_5,1,4,3,-19.6,-17.46575,2.13425,2016p316432,5,93.63026428,3.333907955,206862.1918,8.263,4/27/2016 1:57,118,-32.29,-60.153,-58.01875,2.13425
87,2016p336534_1,92,75,-17,-13.96997826,-12.0034,1.966578261,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.52297826,-52.5564,1.96657826
88,2016p336534_2,203,154,-49,-8.857650246,-15.30051299,-6.442862741,2016p336534,2,194.5833435,3.106123037,45093.0577,12.171,5/4/2016 12:26,125,-28.382,-49.41065025,-55.85351299,-6.442862744
89,2016p336534_3,143,71,-72,-2.664636364,-9.508352113,-6.843715749,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125,-17.691,-43.21763636,-50.06135211,-6.843715749
90,2016p336534_4,147,100,-47,-7.851503401,-5.87824,1.973263401,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125,-22.779,-48.4045034,-46.43124,1.973263401
91,2016p336534_5,50,33,-17,-14.43516,-13.07609091,1.359069091,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125,-34.17,-54.98816,-53.62909091,1.35906909
92,2016p337803_1,304,135,-169,-9.045976974,-11.06586667,-2.019889693,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.59897697,-51.61886667,-2.019889696
93,2016p337803_2,135,430,295,-13.82498519,-6.051811628,7.773173557,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125,-23.008,-54.37798519,-46.60481163,7.773173562
94,2016p337803_3,263,88,-175,-6.661501901,-11.38343182,-4.721929917,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125,-8.398,-47.2145019,-51.93643182,-4.721929919
95,2016p337803_4,225,270,45,-8.457333333,-9.16582963,-0.708496296,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125,-23.822,-49.01033333,-49.71882963,-0.708496297
96,2016p337803_5,162,96,-66,-11.53704938,-13.138,-1.600950617,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.09004938,-53.691,-1.60095062
97,2016p361097_1,482,268,-214,-11.30396266,-11.65205224,-0.348089583,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.85696266,-52.20505224,-0.34808958
98,2016p361097_2,101,137,36,-12.72110891,-9.403664234,3.317444677,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134,-24.635,-53.27410891,-49.95666423,3.317444676
99,2016p361097_3,259,201,-58,-9.874737452,-9.16799005,0.706747402,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134,-26.135,-50.42773745,-49.72099005,0.706747402
100,2016p361097_4,16,130,114,-9.2923125,-10.12378462,-0.831472115,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134,-30.896,-49.8453125,-50.67678462,-0.83147212
101,2016p361097_5,106,39,-67,-16.40051887,-12.72112821,3.679390663,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.95351887,-53.27412821,3.67939066
102,2016p389145_1,111,119,8,-8.903216216,-2.084252101,6.818964115,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144,-21.706,-49.45621622,-42.6372521,6.818964115
103,2016p389145_2,74,29,-45,-19.36432432,-14.55789655,4.806427773,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144,-13.503,-59.91732432,-55.11089655,4.80642777
104,2016p389145_3,141,35,-106,-6.357695035,-3.597285714,2.760409321,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144,-8.831,-46.91069504,-44.15028571,2.760409321
105,2016p389145_4,101,20,-81,-14.71627723,-8.3821,6.334177228,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144,-8.645,-55.26927723,-48.9351,6.33417723
106,2016p389145_5,35,46,11,-10.54402857,-17.26315217,-6.719123602,2016p389145,5,75.84237671,3.230236853,165101.2966,19.599,5/23/2016 23:37,144,-20.954,-51.09702857,-57.81615217,-6.7191236
107,2016p397820_1,260,115,-145,-13.28051154,-11.54321739,1.737294147,2016p397820,1,135.8382874,3.421201313,249864.9647,9.165,5/27/2016 4:39,148,-31.388,-53.83351154,-52.09621739,1.73729415
108,2016p397820_2,204,169,-35,-14.95888235,-17.4196568,-2.460774452,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.51188235,-57.9726568,-2.46077445
109,2016p397820_3,116,274,158,-18.14230172,-18.11204015,0.030261578,2016p397820,3,135.8382874,3.421201313,164071.1261,19.86,5/27/2016 4:39,148,-20.693,-58.69530172,-58.66504015,0.03026157
110,2016p397820_4,175,342,167,-13.98476,-16.17004386,-2.18528386,2016p397820,4,135.8382874,3.421201313,116319.9556,17.953,5/27/2016 4:39,148,-22.6,-54.53776,-56.72304386,-2.18528386
111,2016p397820_5,350,117,-233,-17.84912286,-16.06526496,1.7838579,2016p397820,5,135.8382874,3.421201313,144110.2255,9.576,5/27/2016 4:39,148,-30.977,-58.40212286,-56.61826496,1.7838579
112,2016p418574_1,10,32,22,-13.9385,-14.65659375,-0.71809375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.4915,-55.20959375,-0.71809375
113,2016p418574_2,19,19,0,-21.126,-16.29636842,4.829631579,2016p418574,2,189.222641,3.42426739,47563.18009,10.413,6/3/2016 20:57,155,-30.14,-61.679,-56.84936842,4.82963158
114,2016p418574_3,17,23,6,-20.48458824,-15.64378261,4.840805627,2016p418574,3,189.222641,3.42426739,97148.75627,19.722,6/3/2016 20:57,155,-20.831,-61.03758824,-56.19678261,4.84080563
115,2016p418574_4,50,54,4,-14.72238,-11.80048148,2.921898519,2016p418574,4,189.222641,3.42426739,92944.89633,16.376,6/3/2016 20:57,155,-24.177,-55.27538,-52.35348148,2.92189852
116,2016p418574_5,25,17,-8,-18.4152,-13.77447059,4.640729412,2016p418574,5,189.222641,3.42426739,159016.6728,6.048,6/3/2016 20:57,155,-34.505,-58.9682,-54.32747059,4.64072941
117,2016p427491_1,38,128,90,-11.50055263,-12.2868125,-0.786259868,2016p427491,1,85.86700439,3.678503189,136465.2936,22.361,6/7/2016 4:08,159,-18.192,-52.05355263,-52.8398125,-0.78625987
118,2016p427491_2,40,133,93,-15.992975,-18.2086015,-2.215626504,2016p427491,2,85.86700439,3.678503189,8029.151108,30.702,6/7/2016 4:08,159,-9.851,-56.545975,-58.7616015,-2.2156265
119,2016p427491_3,4,20,16,-22.1505,-10.98035,11.17015,2016p427491,3,85.86700439,3.678503189,44431.60903,32.215,6/7/2016 4:08,159,-8.338,-62.7035,-51.53335,11.17015
120,2016p427491_4,37,236,199,-3.806675676,-5.450911017,-1.644235341,2016p427491,4,85.86700439,3.678503189,82829.07216,28.822,6/7/2016 4:08,159,-11.731,-44.35967568,-46.00391102,-1.644235341
121,2016p427491_5,74,75,1,-10.20064865,-8.399973333,1.800675315,2016p427491,5,85.86700439,3.678503189,180048.4805,15.227,6/7/2016 4:08,159,-25.326,-50.75364865,-48.95297333,1.800675317
122,2016p438469_1,15,8,-7,-12.4816,-14.1255,-1.6439,2016p438469,1,13.45981407,3.292279163,172786.9681,10.657,6/11/2016 5:37,163,-29.896,-53.0346,-54.6785,-1.6439
123,2016p438469_2,134,322,188,-14.53019403,-13.00764286,1.522551173,2016p438469,2,13.45981407,3.292279163,48546.81839,20.272,6/11/2016 5:36,163,-20.281,-55.08319403,-53.56064286,1.52255117
124,2016p438469_3,76,236,160,-11.52836842,-15.09015678,-3.561788359,2016p438469,3,13.45981407,3.292279163,52630.28857,29.016,6/11/2016 5:36,163,-11.537,-52.08136842,-55.64315678,-3.56178836
125,2016p438469_4,108,268,160,-11.40563889,-14.11393284,-2.708293947,2016p438469,4,13.45981407,3.292279163,123160.7474,14.816,6/11/2016 5:37,163,-25.737,-51.95863889,-54.66693284,-2.70829395
126,2016p445360_1,5,6,1,-13.7164,-15.28966667,-1.573266667,2016p445360,1,5,3.401255055,180865.3087,10.355,6/13/2016 18:48,165,-30.198,-54.2694,-55.84266667,-1.57326667
127,2016p445360_2,75,105,30,-15.86258667,-12.98495238,2.877634286,2016p445360,2,5,3.401255055,172697.5883,14.421,6/13/2016 18:48,165,-26.132,-56.41558667,-53.53795238,2.87763429
128,2016p445360_3,59,61,2,-17.56988136,-15.50513115,2.064750208,2016p445360,3,5,3.401255055,215127.0432,16.313,6/13/2016 18:48,165,-24.24,-58.12288136,-56.05813115,2.06475021
129,2016p445360_4,19,45,26,-9.986210526,-5.377533333,4.608677193,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.53921053,-45.93053333,4.608677193
130,2016p452435_1,19,23,4,-14.72336842,-13.336,1.387368421,2016p452435,1,16.12910271,3.431327528,198273.4196,11.672,6/16/2016 9:38,168,-28.881,-55.27636842,-53.889,1.38736842
131,2016p452435_2,181,27,-154,-20.36969061,-17.37477778,2.99491283,2016p452435,2,16.12910271,3.431327528,77569.36961,26.254,6/16/2016 9:38,168,-14.299,-60.92269061,-57.92777778,2.99491283
132,2016p452435_3,6,0,-6,-13.057,NA,NA,2016p452435,3,16.12910271,3.431327528,73730.85789,39.604,6/16/2016 9:38,168,-0.949,-53.61,NA,NA
133,2016p452435_4,201,43,-158,-11.92285572,-10.03374419,1.889111535,2016p452435,4,16.12910271,3.431327528,150519.7315,22.354,6/16/2016 9:38,168,-18.199,-52.47585572,-50.58674419,1.88911153
134,2016p452435_5,132,58,-74,-15.96587879,-14.90655172,1.059327064,2016p452435,5,16.12910271,3.431327528,253750.7341,8.918,6/16/2016 9:38,168,-31.635,-56.51887879,-55.45955172,1.05932707
135,2016p470092_1,67,12,-55,-15.71574627,-15.23708333,0.478662935,2016p470092,1,25.71006966,3.001803294,166417.7748,12.907,6/22/2016 22:25,174,-27.646,-56.26874627,-55.79008333,0.47866294
136,2016p470092_2,101,11,-90,-14.43230693,-13.17136364,1.260943294,2016p470092,2,25.71006966,3.001803294,61977.22876,23.294,6/22/2016 22:25,174,-17.259,-54.98530693,-53.72436364,1.26094329
137,2016p470092_3,112,2,-110,-16.74508929,-19.5085,-2.763410714,2016p470092,3,25.71006966,3.001803294,84574.70713,32.528,6/22/2016 22:25,174,-8.025,-57.29808929,-60.0615,-2.76341071
138,2016p470092_4,208,33,-175,-7.571538462,-9.60269697,-2.031158508,2016p470092,4,25.71006966,3.001803294,146007.5838,21.138,6/22/2016 22:25,174,-19.415,-48.12453846,-50.15569697,-2.031158508
139,2016p470092_5,53,20,-33,-17.7559434,-15.46235,2.293593396,2016p470092,5,25.71006966,3.001803294,240603.1912,9.332,6/22/2016 22:26,174,-31.221,-58.3089434,-56.01535,2.2935934
