,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
38,2016p180035_5,46,20,-26,-13.63932609,-17.1284,-3.489073913,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67
39,2016p183087_2,2,22,20,-18.1915,-17.02204545,1.169454545,2016p183087,2,14.7265625,3.071433717,135592.5724,11.426,3/8/2016 17:50,68
40,2016p183087_3,15,10,-5,-4.214266667,-2.0947,2.119566667,NA,NA,NA,NA,NA,NA,NA,NA
41,2016p183087_4,5,14,9,-5.884,-8.166142857,-2.282142857,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68
42,2016p183087_5,24,4,-20,-6.843625,-10.963,-4.119375,NA,NA,NA,NA,NA,NA,NA,NA
43,2016p205021_1,53,16,-37,-12.61371698,-15.173,-2.559283019,NA,NA,NA,NA,NA,NA,NA,NA
44,2016p205021_2,6,3,-3,-16.3125,-18.85733333,-2.544833333,NA,NA,NA,NA,NA,NA,NA,NA
45,2016p205021_3,4,2,-2,-14.99825,-19.112,-4.11375,NA,NA,NA,NA,NA,NA,NA,NA
46,2016p205021_4,60,22,-38,-13.24818333,-14.66686364,-1.418680303,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76
47,2016p205021_5,16,18,2,-12.2100625,-13.50372222,-1.293659722,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76
48,2016p219547_2,10,110,100,-16.9333,-14.43196364,2.501336364,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82
49,2016p219547_3,47,202,155,-11.55493617,-14.64805941,-3.093123236,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76
50,2016p219547_3,47,202,155,-11.55493617,-14.64805941,-3.093123236,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82
51,2016p219547_5,8,19,11,-10.409125,-8.983,1.426125,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82
52,2016p223944_1,12,1,-11,-15.08108333,-13.175,1.906083333,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83
53,2016p223944_2,10,10,0,-15.055,-17.3297,-2.2747,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83
54,2016p223944_3,81,186,105,-7.836580247,-6.813822581,1.022757666,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83
55,2016p223944_4,21,15,-6,-10.14219048,-10.029,0.113190476,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83
56,2016p242416_2,57,95,38,-17.87089474,-16.32904211,1.541852632,NA,NA,NA,NA,NA,NA,NA,NA
57,2016p242416_3,310,168,-142,-10.10829355,-4.044517857,6.063775691,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90
58,2016p242416_4,8,18,10,-10.759625,-11.67777778,-0.918152778,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90
59,2016p242416_5,11,31,20,-18.06381818,-16.92254839,1.141269795,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90
