Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Date,Begin Hour,Begin Date Time,Begin Path,Begin File,File Offset (s),Delta Time (s),Energy,Tag,Notes,publicid
167,Spectrogram 1,5,8553464.907,8553529.752,0,147.7,4/27/2016,1,57:44.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160427\L7910NZ01_002K_M05_multi_20160427_014500Z.aif,L7910NZ01_002K_M05_multi_20160427_014500Z.aif,764.907,64.8447,8.263,EQ,,2016p316432
168,Spectrogram 1,1,8704703.106,8704790.87,0,142.2,4/28/2016,19,58:23.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160428\L7910NZ01_002K_M05_multi_20160428_194500Z.aif,L7910NZ01_002K_M05_multi_20160428_194500Z.aif,803.1055,87.764,15.42,EQ,,2016p321165
169,Spectrogram 1,2,8704685.776,8704770.745,0,146.3,4/28/2016,19,58:05.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160428\L7910NZ01_002K_M05_multi_20160428_194500Z.aif,L7910NZ01_002K_M05_multi_20160428_194500Z.aif,785.7765,84.9689,25.776,EQ,,2016p321165
170,Spectrogram 1,3,8704680.745,8704770.745,0,144.6,4/28/2016,19,58:00.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160428\L7910NZ01_002K_M05_multi_20160428_194500Z.aif,L7910NZ01_002K_M05_multi_20160428_194500Z.aif,780.7455,90,38.372,EQ,,2016p321165
171,Spectrogram 1,4,8704688.571,8704770.186,0,148.1,4/28/2016,19,58:08.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160428\L7910NZ01_002K_M05_multi_20160428_194500Z.aif,L7910NZ01_002K_M05_multi_20160428_194500Z.aif,788.5715,81.6149,30.225,EQ,,2016p321165
172,Spectrogram 1,5,8704701.988,8704780.248,0,140.9,4/28/2016,19,58:22.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160428\L7910NZ01_002K_M05_multi_20160428_194500Z.aif,L7910NZ01_002K_M05_multi_20160428_194500Z.aif,801.9875,78.2609,15.72,EQ,,2016p321165
173,Spectrogram 1,1,9072602.422,9072670.062,0,142.2,5/3/2016,2,10:02.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160503\L7910NZ01_002K_M05_multi_20160503_020000Z.aif,L7910NZ01_002K_M05_multi_20160503_020000Z.aif,602.4225,67.6398,8.556,EQ,,2016p332674
174,Spectrogram 1,2,9072600.186,9072670.062,0,144.4,5/3/2016,2,10:00.2,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160503\L7910NZ01_002K_M05_multi_20160503_020000Z.aif,L7910NZ01_002K_M05_multi_20160503_020000Z.aif,600.1865,69.8758,19.168,EQ,,2016p332674
175,Spectrogram 1,3,9072602.422,9072680.683,0,141,5/3/2016,2,10:02.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160503\L7910NZ01_002K_M05_multi_20160503_020000Z.aif,L7910NZ01_002K_M05_multi_20160503_020000Z.aif,602.4225,78.2609,28.636,EQ,,2016p332674
176,Spectrogram 1,4,9072601.863,9072680.124,0,144.2,5/3/2016,2,10:01.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160503\L7910NZ01_002K_M05_multi_20160503_020000Z.aif,L7910NZ01_002K_M05_multi_20160503_020000Z.aif,601.8635,78.2609,25.719,EQ,,2016p332674
177,Spectrogram 1,5,9072607.453,9072690.186,0,145.5,5/3/2016,2,10:07.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160503\L7910NZ01_002K_M05_multi_20160503_020000Z.aif,L7910NZ01_002K_M05_multi_20160503_020000Z.aif,607.4535,82.7329,10.073,EQ,,2016p332674
178,Spectrogram 1,2,9195988.137,9196049.627,0,142.6,5/4/2016,12,26:28.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_121500Z.aif,L7910NZ01_002K_M05_multi_20160504_121500Z.aif,688.1365,61.4907,12.171,EQ,,2016p336534
179,Spectrogram 1,3,9195990.373,9196054.099,0,144.6,5/4/2016,12,26:30.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_121500Z.aif,L7910NZ01_002K_M05_multi_20160504_121500Z.aif,690.3725,63.7267,22.862,EQ,,2016p336534
180,Spectrogram 1,4,9195988.696,9196059.13,0,140.4,5/4/2016,12,26:28.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_121500Z.aif,L7910NZ01_002K_M05_multi_20160504_121500Z.aif,688.6955,70.4348,17.774,EQ,,2016p336534
181,Spectrogram 1,5,9195992.609,9196059.689,0,147.7,5/4/2016,12,26:32.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_121500Z.aif,L7910NZ01_002K_M05_multi_20160504_121500Z.aif,692.6085,67.0807,6.383,EQ,,2016p336534
182,Spectrogram 1,2,9236548.696,9236610.186,0,146.3,5/4/2016,23,42:28.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_233000Z.aif,L7910NZ01_002K_M05_multi_20160504_233000Z.aif,748.6955,61.4907,17.545,EQ,,2016p337803
183,Spectrogram 1,3,9236540.87,9236601.242,0,148.2,5/4/2016,23,42:20.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_233000Z.aif,L7910NZ01_002K_M05_multi_20160504_233000Z.aif,740.8695,60.3727,32.155,EQ,,2016p337803
184,Spectrogram 1,4,9236548.137,9236618.571,0,148.1,5/4/2016,23,42:28.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160504\L7910NZ01_002K_M05_multi_20160504_233000Z.aif,L7910NZ01_002K_M05_multi_20160504_233000Z.aif,748.1365,70.4348,16.731,EQ,,2016p337803
185,Spectrogram 1,1,9440206.584,9440260.807,0,148.1,5/7/2016,8,16:46.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160507\L7910NZ01_002K_M05_multi_20160507_081500Z.aif,L7910NZ01_002K_M05_multi_20160507_081500Z.aif,106.584,54.2236,14.772,EQ,,2016p344173
186,Spectrogram 1,2,9440209.938,9440270.87,0,146.3,5/7/2016,8,16:49.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160507\L7910NZ01_002K_M05_multi_20160507_081500Z.aif,L7910NZ01_002K_M05_multi_20160507_081500Z.aif,109.938,60.9317,10.044,EQ,,2016p344173
187,Spectrogram 1,3,9440215.528,9440281.491,0,144.6,5/7/2016,8,16:55.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160507\L7910NZ01_002K_M05_multi_20160507_081500Z.aif,L7910NZ01_002K_M05_multi_20160507_081500Z.aif,115.528,65.9627,15.564,EQ,,2016p344173
188,Spectrogram 1,4,9440216.087,9440281.491,0,140.4,5/7/2016,8,16:56.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160507\L7910NZ01_002K_M05_multi_20160507_081500Z.aif,L7910NZ01_002K_M05_multi_20160507_081500Z.aif,116.087,65.4037,12.396,EQ,,2016p344173
189,Spectrogram 1,1,9573768.82,9573830.87,0,144.2,5/8/2016,21,22:48.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160508\L7910NZ01_002K_M05_multi_20160508_211500Z.aif,L7910NZ01_002K_M05_multi_20160508_211500Z.aif,468.82,62.0497,6.334,EQ,,2016p348351
190,Spectrogram 1,2,9573756.522,9573829.193,0,148.1,5/8/2016,21,22:36.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160508\L7910NZ01_002K_M05_multi_20160508_211500Z.aif,L7910NZ01_002K_M05_multi_20160508_211500Z.aif,456.5215,72.6708,9.032,EQ,,2016p348351
191,Spectrogram 1,3,9573748.137,9573819.689,0,144.6,5/8/2016,21,22:28.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160508\L7910NZ01_002K_M05_multi_20160508_211500Z.aif,L7910NZ01_002K_M05_multi_20160508_211500Z.aif,448.1365,71.5528,17.086,EQ,,2016p348351
192,Spectrogram 1,4,9573752.05,9573820.248,0,144.2,5/8/2016,21,22:32.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160508\L7910NZ01_002K_M05_multi_20160508_211500Z.aif,L7910NZ01_002K_M05_multi_20160508_211500Z.aif,452.0495,68.1988,15.066,EQ,,2016p348351
193,Spectrogram 1,5,9573760.435,9573830.311,0,147.7,5/8/2016,21,22:40.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160508\L7910NZ01_002K_M05_multi_20160508_211500Z.aif,L7910NZ01_002K_M05_multi_20160508_211500Z.aif,460.435,69.8758,7.67,EQ,,2016p348351
194,Spectrogram 1,3,9981205.116,9981270.698,0,144.2,5/13/2016,14,33:25.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160513\L7910NZ01_002K_M05_multi_20160513_143000Z.aif,L7910NZ01_002K_M05_multi_20160513_143000Z.aif,205.1165,65.5814,14.418,EQ,,2016p361097
195,Spectrogram 1,4,9981206.512,9981269.302,0,140.6,5/13/2016,14,33:26.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160513\L7910NZ01_002K_M05_multi_20160513_143000Z.aif,L7910NZ01_002K_M05_multi_20160513_143000Z.aif,206.5115,62.7907,9.657,EQ,,2016p361097
196,Spectrogram 1,2,9981198.14,9981261.628,0,144,5/13/2016,14,33:18.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160513\L7910NZ01_002K_M05_multi_20160513_143000Z.aif,L7910NZ01_002K_M05_multi_20160513_143000Z.aif,198.1395,63.4884,15.918,EQ,,2016p361097
197,Spectrogram 1,3,10698297.21,10698369.77,0,144.2,5/21/2016,21,44:57.2,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160521\L7910NZ01_002K_M05_multi_20160521_213000Z.aif,L7910NZ01_002K_M05_multi_20160521_213000Z.aif,897.2095,72.5581,6.854,EQ,,2016p383528
198,Spectrogram 1,4,10698286.05,10698360,0,146.9,5/21/2016,21,44:46.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160521\L7910NZ01_002K_M05_multi_20160521_213000Z.aif,L7910NZ01_002K_M05_multi_20160521_213000Z.aif,886.0465,73.9535,8.932,EQ,,2016p383528
199,Spectrogram 1,5,10698283.26,10698348.84,0,142.5,5/21/2016,21,44:43.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160521\L7910NZ01_002K_M05_multi_20160521_213000Z.aif,L7910NZ01_002K_M05_multi_20160521_213000Z.aif,883.256,65.5814,11.995,EQ,,2016p383528
200,Spectrogram 1,1,10877829.77,10877900.93,0,140.6,5/23/2016,23,37:09.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160523\L7910NZ01_002K_M05_multi_20160523_233000Z.aif,L7910NZ01_002K_M05_multi_20160523_233000Z.aif,429.7675,71.1628,18.847,EQ,,2016p389145
201,Spectrogram 1,2,10877820.7,10877899.53,0,141,5/23/2016,23,37:00.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160523\L7910NZ01_002K_M05_multi_20160523_233000Z.aif,L7910NZ01_002K_M05_multi_20160523_233000Z.aif,420.6975,78.8372,27.05,EQ,,2016p389145
202,Spectrogram 1,3,10877818.6,10877912.09,0,144.2,5/23/2016,23,36:58.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160523\L7910NZ01_002K_M05_multi_20160523_233000Z.aif,L7910NZ01_002K_M05_multi_20160523_233000Z.aif,418.6045,93.4884,31.722,EQ,,2016p389145
203,Spectrogram 1,4,10877820,10877910,0,146.9,5/23/2016,23,37:00.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160523\L7910NZ01_002K_M05_multi_20160523_233000Z.aif,L7910NZ01_002K_M05_multi_20160523_233000Z.aif,420,90,31.908,EQ,,2016p389145
204,Spectrogram 1,5,10877831.16,10877919.77,0,146.2,5/23/2016,23,37:11.2,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160523\L7910NZ01_002K_M05_multi_20160523_233000Z.aif,L7910NZ01_002K_M05_multi_20160523_233000Z.aif,431.163,88.6047,19.599,EQ,,2016p389145
205,Spectrogram 1,1,11047601.86,11047668.84,0,143.7,5/25/2016,22,46:41.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160525\L7910NZ01_002K_M05_multi_20160525_224500Z.aif,L7910NZ01_002K_M05_multi_20160525_224500Z.aif,101.8605,66.9767,9.359,EQ,,2016p394455
206,Spectrogram 1,2,11047586.51,11047658.37,0,141,5/25/2016,22,46:26.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160525\L7910NZ01_002K_M05_multi_20160525_224500Z.aif,L7910NZ01_002K_M05_multi_20160525_224500Z.aif,86.5115,71.8605,17.837,EQ,,2016p394455
207,Spectrogram 1,3,11047585.12,11047656.98,0,144.2,5/25/2016,22,46:25.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160525\L7910NZ01_002K_M05_multi_20160525_224500Z.aif,L7910NZ01_002K_M05_multi_20160525_224500Z.aif,85.1165,71.8605,26.29,EQ,,2016p394455
208,Spectrogram 1,4,11047591.4,11047669.53,0,137.5,5/25/2016,22,46:31.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160525\L7910NZ01_002K_M05_multi_20160525_224500Z.aif,L7910NZ01_002K_M05_multi_20160525_224500Z.aif,91.3955,78.1395,15.576,EQ,,2016p394455
209,Spectrogram 1,5,11047603.95,11047699.53,0,146.2,5/25/2016,22,46:44.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160525\L7910NZ01_002K_M05_multi_20160525_224500Z.aif,L7910NZ01_002K_M05_multi_20160525_224500Z.aif,103.9535,95.5814,7.663,EQ,,2016p394455
210,Spectrogram 1,1,11078537.44,11078610,0,137.5,5/26/2016,7,22:17.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160526\L7910NZ01_002K_M05_multi_20160526_071500Z.aif,L7910NZ01_002K_M05_multi_20160526_071500Z.aif,437.442,72.5581,17.455,EQ,,2016p395423
211,Spectrogram 1,2,11078520.7,11078611.4,0,144,5/26/2016,7,22:00.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160526\L7910NZ01_002K_M05_multi_20160526_071500Z.aif,L7910NZ01_002K_M05_multi_20160526_071500Z.aif,420.6975,90.6977,26.902,EQ,,2016p395423
212,Spectrogram 1,3,11078512.33,11078599.53,0,141.3,5/26/2016,7,21:52.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160526\L7910NZ01_002K_M05_multi_20160526_071500Z.aif,L7910NZ01_002K_M05_multi_20160526_071500Z.aif,412.3255,87.2093,38.008,EQ,,2016p395423
213,Spectrogram 1,4,11078518.6,11078613.49,0,143.7,5/26/2016,7,21:58.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160526\L7910NZ01_002K_M05_multi_20160526_071500Z.aif,L7910NZ01_002K_M05_multi_20160526_071500Z.aif,418.6045,94.8837,31.594,EQ,,2016p395423
214,Spectrogram 1,5,11078529.07,11078618.37,0,142.5,5/26/2016,7,22:09.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160526\L7910NZ01_002K_M05_multi_20160526_071500Z.aif,L7910NZ01_002K_M05_multi_20160526_071500Z.aif,429.07,89.3023,23.804,EQ,,2016p395423
215,Spectrogram 1,1,11155189.53,11155260.7,0,137.5,5/27/2016,4,39:49.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160527\L7910NZ01_002K_M05_multi_20160527_043000Z.aif,L7910NZ01_002K_M05_multi_20160527_043000Z.aif,589.535,71.1628,9.165,EQ,,2016p397820
216,Spectrogram 1,3,11155179.77,11155260,0,141.3,5/27/2016,4,39:39.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160527\L7910NZ01_002K_M05_multi_20160527_043000Z.aif,L7910NZ01_002K_M05_multi_20160527_043000Z.aif,579.7675,80.2326,19.86,EQ,,2016p397820
217,Spectrogram 1,4,11155172.79,11155266.28,0,140.6,5/27/2016,4,39:32.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160527\L7910NZ01_002K_M05_multi_20160527_043000Z.aif,L7910NZ01_002K_M05_multi_20160527_043000Z.aif,572.7905,93.4884,17.953,EQ,,2016p397820
218,Spectrogram 1,5,11155176.28,11155271.86,0,146.2,5/27/2016,4,39:36.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160527\L7910NZ01_002K_M05_multi_20160527_043000Z.aif,L7910NZ01_002K_M05_multi_20160527_043000Z.aif,576.279,95.5814,9.576,EQ,,2016p397820
219,Spectrogram 1,1,11344775.58,11344850.23,0,134.4,5/29/2016,9,19:35.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160529\L7910NZ01_002K_M05_multi_20160529_091500Z.aif,L7910NZ01_002K_M05_multi_20160529_091500Z.aif,275.5815,74.6512,26.105,EQ,,2016p403752
220,Spectrogram 1,2,11344776.28,11344850.23,0,147,5/29/2016,9,19:36.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160529\L7910NZ01_002K_M05_multi_20160529_091500Z.aif,L7910NZ01_002K_M05_multi_20160529_091500Z.aif,276.279,73.9535,21.083,EQ,,2016p403752
221,Spectrogram 1,3,11344781.86,11344860,0,147.1,5/29/2016,9,19:41.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160529\L7910NZ01_002K_M05_multi_20160529_091500Z.aif,L7910NZ01_002K_M05_multi_20160529_091500Z.aif,281.8605,78.1395,19.811,EQ,,2016p403752
222,Spectrogram 1,4,11344777.67,11344850.93,0,143.7,5/29/2016,9,19:37.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160529\L7910NZ01_002K_M05_multi_20160529_091500Z.aif,L7910NZ01_002K_M05_multi_20160529_091500Z.aif,277.6745,73.2558,24.331,EQ,,2016p403752
223,Spectrogram 1,5,11344782.56,11344860,0,146.2,5/29/2016,9,19:42.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160529\L7910NZ01_002K_M05_multi_20160529_091500Z.aif,L7910NZ01_002K_M05_multi_20160529_091500Z.aif,282.558,77.4419,12.455,EQ,,2016p403752
224,Spectrogram 1,1,11765284.88,11765349.77,0,137.5,6/3/2016,6,08:04.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_060000Z.aif,L7910NZ01_002K_M05_multi_20160603_060000Z.aif,484.8835,64.8837,6.008,EQ,,2016p416905
225,Spectrogram 1,2,11765275.12,11765358.84,0,147,6/3/2016,6,07:55.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_060000Z.aif,L7910NZ01_002K_M05_multi_20160603_060000Z.aif,475.1165,83.7209,4.887,EQ,,2016p416905
226,Spectrogram 1,3,11765274.42,11765359.53,0,135.6,6/3/2016,6,07:54.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_060000Z.aif,L7910NZ01_002K_M05_multi_20160603_060000Z.aif,474.4185,85.1163,10.352,EQ,,2016p416905
227,Spectrogram 1,4,11765269.53,11765340,0,143.7,6/3/2016,6,07:49.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_060000Z.aif,L7910NZ01_002K_M05_multi_20160603_060000Z.aif,469.535,70.4651,8.75,EQ,,2016p416905
228,Spectrogram 1,5,11765269.53,11765344.88,0,146.2,6/3/2016,6,07:49.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_060000Z.aif,L7910NZ01_002K_M05_multi_20160603_060000Z.aif,469.535,75.3488,4.953,EQ,,2016p416905
229,Spectrogram 1,2,11818620,11818698.84,0,147,6/3/2016,20,57:00.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_204500Z.aif,L7910NZ01_002K_M05_multi_20160603_204500Z.aif,720,78.8372,10.413,EQ,,2016p418574
230,Spectrogram 1,3,11818621.4,11818719.77,0,147.1,6/3/2016,20,57:01.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_204500Z.aif,L7910NZ01_002K_M05_multi_20160603_204500Z.aif,721.3955,98.3721,19.722,EQ,,2016p418574
231,Spectrogram 1,4,11818620.7,11818711.4,0,143.7,6/3/2016,20,57:00.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_204500Z.aif,L7910NZ01_002K_M05_multi_20160603_204500Z.aif,720.6975,90.6977,16.376,EQ,,2016p418574
232,Spectrogram 1,5,11818626.28,11818709.3,0,146.2,6/3/2016,20,57:06.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160603\L7910NZ01_002K_M05_multi_20160603_204500Z.aif,L7910NZ01_002K_M05_multi_20160603_204500Z.aif,726.279,83.0233,6.048,EQ,,2016p418574
233,Spectrogram 1,1,11852437.67,11852499.77,0,137.5,6/4/2016,6,20:37.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160604\L7910NZ01_002K_M05_multi_20160604_061500Z.aif,L7910NZ01_002K_M05_multi_20160604_061500Z.aif,337.6745,62.093,6.107,EQ,,2016p419631
234,Spectrogram 1,2,11852430,11852501.16,0,144,6/4/2016,6,20:30.0,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160604\L7910NZ01_002K_M05_multi_20160604_061500Z.aif,L7910NZ01_002K_M05_multi_20160604_061500Z.aif,330,71.1628,4.679,EQ,,2016p419631
235,Spectrogram 1,3,11852428.6,11852500.47,0,144.2,6/4/2016,6,20:28.6,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160604\L7910NZ01_002K_M05_multi_20160604_061500Z.aif,L7910NZ01_002K_M05_multi_20160604_061500Z.aif,328.6045,71.8605,11.334,EQ,,2016p419631
236,Spectrogram 1,4,11852422.33,11852499.07,0,146.9,6/4/2016,6,20:22.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160604\L7910NZ01_002K_M05_multi_20160604_061500Z.aif,L7910NZ01_002K_M05_multi_20160604_061500Z.aif,322.3255,76.7442,9.697,EQ,,2016p419631
237,Spectrogram 1,5,11852427.91,11852499.77,0,142.5,6/4/2016,6,20:27.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160604\L7910NZ01_002K_M05_multi_20160604_061500Z.aif,L7910NZ01_002K_M05_multi_20160604_061500Z.aif,327.907,71.8605,6.214,EQ,,2016p419631
238,Spectrogram 1,1,11994816.28,11994921.63,0,143.7,6/5/2016,21,53:36.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160605\L7910NZ01_002K_M05_multi_20160605_214500Z.aif,L7910NZ01_002K_M05_multi_20160605_214500Z.aif,516.279,105.3488,10.903,EQ,,2016p424085
239,Spectrogram 1,2,11994811.4,11994899.3,0,141,6/5/2016,21,53:31.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160605\L7910NZ01_002K_M05_multi_20160605_214500Z.aif,L7910NZ01_002K_M05_multi_20160605_214500Z.aif,511.3955,87.907,15.049,EQ,,2016p424085
240,Spectrogram 1,3,11994807.91,11994895.12,0,147.1,6/5/2016,21,53:27.9,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160605\L7910NZ01_002K_M05_multi_20160605_214500Z.aif,L7910NZ01_002K_M05_multi_20160605_214500Z.aif,507.907,87.2093,22.817,EQ,,2016p424085
241,Spectrogram 1,4,11994804.42,11994889.53,0,137.5,6/5/2016,21,53:24.4,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160605\L7910NZ01_002K_M05_multi_20160605_214500Z.aif,L7910NZ01_002K_M05_multi_20160605_214500Z.aif,504.4185,85.1163,21.472,EQ,,2016p424085
242,Spectrogram 1,5,11994806.51,11994890.23,0,138.7,6/5/2016,21,53:26.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160605\L7910NZ01_002K_M05_multi_20160605_214500Z.aif,L7910NZ01_002K_M05_multi_20160605_214500Z.aif,506.5115,83.7209,12.279,EQ,,2016p424085
243,Spectrogram 1,1,12103693.26,12103762.33,0,146.9,6/7/2016,4,08:13.3,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160607\L7910NZ01_002K_M05_multi_20160607_040000Z.aif,L7910NZ01_002K_M05_multi_20160607_040000Z.aif,493.256,69.0698,22.361,EQ,,2016p427491
