X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
39,2016p160705_4,1.062122068,1.088259011,0.026136944,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60,-32.625
40,2016p160705_5,1.146082863,1.136107746,-0.009975117,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2016p162941_1,1.03309079,1.050179281,0.017088491,2016p162941,1,11.76574802,3.135690182,170725.9449,8.521,3/1/2016 6:57,61,-32.032
42,2016p162941_2,1.046156361,1.047539404,0.001383043,2016p162941,2,11.76574802,3.135690182,49130.79583,19.617,3/1/2016 6:56,61,-20.936
43,2016p162941_3,1.056912362,1.035138864,-0.021773499,2016p162941,3,11.76574802,3.135690182,58089.22636,35.871,3/1/2016 6:56,61,-4.682
44,2016p162941_4,1.0898801,1.047217488,-0.042662612,2016p162941,4,11.76574802,3.135690182,126550.416,16.557,3/1/2016 6:56,61,-23.996
45,2016p162941_5,1.141791466,1.137476285,-0.004315181,2016p162941,5,11.76574802,3.135690182,226990.4519,5.467,3/1/2016 6:57,61,-35.086
46,2016p180035_1,1.054605949,1.059032088,0.004426139,2016p180035,1,25.82084084,3.186169287,342227.6164,6.672,3/7/2016 14:45,67,-33.881
47,2016p180035_2,1.00934164,1.1015188,0.09217716,2016p180035,2,25.82084084,3.186169287,244736.5074,8.148,3/7/2016 14:44,67,-32.405
48,2016p180035_3,0.988355387,0.98625236,-0.002103028,2016p180035,3,25.82084084,3.186169287,196003.8141,18.209,3/7/2016 14:44,67,-22.344
49,2016p180035_4,0.989284983,1.079791245,0.090506262,2016p180035,4,25.82084084,3.186169287,200258.9395,13.009,3/7/2016 14:44,67,-27.544
50,2016p180035_5,1.140597783,1.110164017,-0.030433766,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67,-31.994
51,2016p183087_1,1.024263358,1.011910353,-0.012353005,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2016p183087_2,1.069876663,1.092716526,0.022839863,2016p183087,2,14.7265625,3.071433717,135592.5724,11.426,3/8/2016 17:50,68,-29.127
53,2016p183087_3,1.171188446,1.070054463,-0.101133983,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2016p183087_4,1.01090673,1.065842759,0.05493603,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68,-30.419
55,2016p183087_5,1.064038207,1.036163127,-0.027875081,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2016p205021_1,1.084303509,1.100696209,0.0163927,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2016p205021_2,1.066339638,1.020896852,-0.045442786,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2016p205021_3,1.089089823,1.036058066,-0.053031758,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2016p205021_4,1.09645801,1.120544507,0.024086497,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76,-33.45
60,2016p205021_5,1.089507617,1.103987796,0.014480179,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76,-34.191
61,2016p219547_1,1.06663569,1.108418686,0.041782996,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2016p219547_2,1.190063784,1.167129768,-0.022934016,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82,-32.323
63,2016p219547_3,1.17782325,1.098235449,-0.079587801,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76,-32.595
64,2016p219547_3,1.17782325,1.098235449,-0.079587801,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82,-25.145
65,2016p219547_4,1.108280144,1.152912319,0.044632176,2016p219547,4,23.984375,3.780000638,210737.7919,14.903,3/22/2016 5:36,82,-25.65
66,2016p219547_5,1.107792208,1.139452877,0.031660668,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82,-31.944
67,2016p223944_1,1.042457611,1.056520351,0.014062741,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83,-27.732
68,2016p223944_2,1.06707842,1.131978573,0.064900153,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83,-22.555
69,2016p223944_3,1.123753898,1.14549129,0.021737392,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83,-18.532
70,2016p223944_4,1.093386932,1.132130882,0.03874395,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83,-26.814
71,2016p223944_5,1.134932535,1.124713461,-0.010219074,2016p223944,5,27.1484375,3.439265874,266159.9271,6.517,3/23/2016 20:39,83,-34.036
72,2016p242416_1,1.028111201,1.081255045,0.053143844,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2016p242416_2,1.061047636,1.045056489,-0.015991147,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2016p242416_3,1.144364567,1.169867287,0.02550272,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90,-34.899
75,2016p242416_4,1.120468493,1.11444728,-0.006021213,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90,-33.683
76,2016p242416_5,1.117184006,1.139811957,0.022627952,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90,-37.076
77,2016p263259_1,1.135829662,1.148532957,0.012703295,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2016p263259_2,1.16720428,1.081094016,-0.086110264,2016p263259,2,9.487145424,3.247858798,168682.2442,9.813,4/7/2016 9:46,98,-30.74
79,2016p263259_3,0.992354526,1.094594619,0.102240093,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98,-16.858
80,2016p263259_4,1.17667234,1.179140776,0.002468436,2016p263259,4,9.487145424,3.247858798,152953.7292,13.457,4/7/2016 9:46,98,-27.096
81,2016p263259_5,1.172940366,1.17153034,-0.001410026,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2016p283637_1,1.128227271,1.083487351,-0.04473992,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105,-30.005
83,2016p283637_2,1.168750412,1.188244759,0.019494346,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105,-21.581
84,2016p283637_3,1.137944682,1.100619553,-0.037325129,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105,-12.672
85,2016p283637_4,1.106479305,1.1704697,0.063990395,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105,-14.815
86,2016p283637_5,1.176731681,1.196478608,0.019746926,2016p283637,5,147.9259491,3.485644509,236937.4491,10.404,4/14/2016 22:44,105,-30.149
87,2016p300395_1,1.153137609,1.05825516,-0.094882449,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2016p300395_2,1.080806291,1.194078735,0.113272444,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112,-33.276
89,2016p300395_3,1.176364259,1.236854273,0.060490014,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112,-24.012
90,2016p300395_4,1.161669175,1.180892979,0.019223804,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112,-29.788
