,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
38,2016p183087_4,2,3,1,-6.4575,-5.501666667,0.955833333,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68
39,2016p183087_5,22,12,-10,-6.470409091,-6.084666667,0.385742424,NA,NA,NA,NA,NA,NA,NA,NA
40,2016p205021_1,2,51,49,-14.0975,-12.55552941,1.541970588,NA,NA,NA,NA,NA,NA,NA,NA
41,2016p205021_2,8,5,-3,-16.183,-16.4492,-0.2662,NA,NA,NA,NA,NA,NA,NA,NA
42,2016p205021_3,1,3,2,-16.978,-14.33833333,2.639666667,NA,NA,NA,NA,NA,NA,NA,NA
43,2016p205021_4,23,55,32,-12.65334783,-13.24641818,-0.593070356,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76
44,2016p205021_5,7,13,6,-8.842,-13.33515385,-4.493153846,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76
45,2016p219547_2,11,7,-4,-14.72154545,-17.25157143,-2.530025974,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82
46,2016p219547_3,54,31,-23,-12.58159259,-11.15177419,1.429818399,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82
47,2016p219547_3,54,31,-23,-12.58159259,-11.15177419,1.429818399,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76
48,2016p219547_5,8,2,-6,-10.812875,-8.7285,2.084375,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82
49,2016p223944_1,11,4,-7,-13.86554545,-16.32075,-2.455204545,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83
50,2016p223944_2,4,6,2,-9.99675,-18.42716667,-8.430416667,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83
51,2016p223944_3,55,59,4,-6.7692,-8.117152542,-1.347952542,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83
52,2016p223944_4,7,15,8,-10.72185714,-10.03146667,0.690390476,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83
53,2016p223944_5,2,0,-2,-13.255,NA,NA,2016p223944,5,27.1484375,3.439265874,266159.9271,6.517,3/23/2016 20:39,83
54,2016p242416_2,53,14,-39,-18.09128302,-17.74357143,0.34771159,NA,NA,NA,NA,NA,NA,NA,NA
55,2016p242416_3,153,238,85,-14.11752288,-8.647651261,5.469871615,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90
56,2016p242416_4,2,8,6,-12.8225,-10.759625,2.062875,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90
57,2016p242416_5,3,9,6,-18.30033333,-17.93422222,0.366111111,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90
58,2016p263259_1,5,5,0,-13.7978,-14.4578,-0.66,NA,NA,NA,NA,NA,NA,NA,NA
59,2016p263259_2,40,1,-39,-17.248275,-9.662,7.586275,2016p263259,2,9.487145424,3.247858798,168682.2442,9.813,4/7/2016 9:46,98
