X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
39,2016p160705_4,1.07519054,1.106865118,0.031674578,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60,-32.625
40,2016p160705_5,1.141095305,1.152232053,0.011136749,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2016p162941_1,1.041635035,1.03847858,-0.003156455,2016p162941,1,11.76574802,3.135690182,170725.9449,8.521,3/1/2016 6:57,61,-32.032
42,2016p162941_2,1.046847882,1.0381543,-0.008693582,2016p162941,2,11.76574802,3.135690182,49130.79583,19.617,3/1/2016 6:56,61,-20.936
43,2016p162941_3,1.046025613,1.066727584,0.020701971,2016p162941,3,11.76574802,3.135690182,58089.22636,35.871,3/1/2016 6:56,61,-4.682
44,2016p162941_4,1.068548794,1.080489935,0.011941141,2016p162941,4,11.76574802,3.135690182,126550.416,16.557,3/1/2016 6:56,61,-23.996
45,2016p162941_5,1.139633876,1.096004213,-0.043629663,2016p162941,5,11.76574802,3.135690182,226990.4519,5.467,3/1/2016 6:57,61,-35.086
46,2016p180035_1,1.056819019,1.119793099,0.06297408,2016p180035,1,25.82084084,3.186169287,342227.6164,6.672,3/7/2016 14:45,67,-33.881
47,2016p180035_2,1.05543022,1.116287406,0.060857186,2016p180035,2,25.82084084,3.186169287,244736.5074,8.148,3/7/2016 14:44,67,-32.405
48,2016p180035_3,0.987303874,0.979577384,-0.00772649,2016p180035,3,25.82084084,3.186169287,196003.8141,18.209,3/7/2016 14:44,67,-22.344
49,2016p180035_4,1.034538114,1.112952149,0.078414035,2016p180035,4,25.82084084,3.186169287,200258.9395,13.009,3/7/2016 14:44,67,-27.544
50,2016p180035_5,1.1253809,1.154756642,0.029375742,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67,-31.994
51,2016p183087_1,1.018086856,0.97946269,-0.038624166,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2016p183087_2,1.081296594,1.068067208,-0.013229386,2016p183087,2,14.7265625,3.071433717,135592.5724,11.426,3/8/2016 17:50,68,-29.127
