X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
1,2016p072185_5,55,16,-39,-9.3152,-11.0379375,-1.7227375,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27,-25.808,-49.8682,-51.5909375,-1.7227375
2,2016p085032_1,8,1,-7,-16.01575,-17.423,-1.40725,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32,-31.536,-56.56875,-57.976,-1.40725
3,2016p085032_4,2,1,-1,-3.1635,-10.046,-6.8825,2016p085032,4,257.8292847,4.102486714,263842.7604,25.561,2/1/2016 11:07,32,-14.992,-43.7165,-50.599,-6.8825
4,2016p085032_5,129,59,-70,-14.2501938,-16.09469492,-1.844501117,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32,-28.869,-54.8031938,-56.64769492,-1.84450112
5,2016p086432_1,12,3,-9,-18.37791667,-15.99,2.387916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.93091667,-56.543,2.38791667
6,2016p086432_3,1,0,-1,-19.449,NA,NA,2016p086432,3,194.428299,3.697536299,170893.0446,25.853,2/1/2016 23:33,32,-14.7,-60.002,NA,NA
7,2016p086432_5,205,60,-145,-13.46314634,-13.79675,-0.333603659,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.01614634,-54.34975,-0.33360366
8,2016p110956_2,71,34,-37,-18.79861972,-13.09973529,5.698884424,2016p110956,2,5,3.758122064,91316.85023,27.286,2/11/2016 1:19,42,-13.267,-59.35161972,-53.65273529,5.69888443
9,2016p110956_3,76,14,-62,-17.20381579,-11.26207143,5.941744361,2016p110956,3,5,3.758122064,63220.77268,40.054,2/11/2016 1:18,42,-0.499,-57.75681579,-51.81507143,5.94174436
10,2016p110956_5,5,36,31,-9.5486,-12.21777778,-2.669177778,2016p110956,5,5,3.758122064,253808.928,15.199,2/11/2016 1:19,42,-25.354,-50.1016,-52.77077778,-2.66917778
11,2016p128172_5,6,0,-6,-8.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.476,NA,NA
12,2016p129367_1,1,3,2,-9.474,-14.749,-5.275,2016p129367,1,8.772040367,3.025107617,96899.46399,12.512,2/17/2016 20:48,48,-28.041,-50.027,-55.302,-5.275
13,2016p129367_3,1,0,-1,-15.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.047,NA,NA
14,2016p129367_4,7,0,-7,-6.794285714,NA,NA,2016p129367,4,8.772040367,3.025107617,48087.38816,17.251,2/17/2016 20:48,48,-23.302,-47.34728571,NA,NA
15,2016p129367_5,5,22,17,-19.2994,-16.57068182,2.728718182,2016p129367,5,8.772040367,3.025107617,90059.94735,9.296,2/17/2016 20:48,48,-31.257,-59.8524,-57.12368182,2.72871818
16,2016p143653_2,12,4,-8,-20.81125,-23.0805,-2.26925,2016p143653,2,194.3353729,3.291146744,73237.05015,16.653,2/23/2016 3:40,54,-23.9,-61.36425,-63.6335,-2.26925
17,2016p143653_3,12,2,-10,-14.41275,-21.542,-7.12925,2016p143653,3,194.3353729,3.291146744,76394.26998,23.591,2/23/2016 3:40,54,-16.962,-54.96575,-62.095,-7.12925
18,2016p143653_4,15,13,-2,-15.13546667,-14.53853846,0.596928205,2016p143653,4,194.3353729,3.291146744,13280.77547,24.712,2/23/2016 3:40,54,-15.841,-55.68846667,-55.09153846,0.59692821
19,2016p143653_5,4,5,1,-23.064,-18.1012,4.9628,2016p143653,5,194.3353729,3.291146744,114709.4637,10.761,2/23/2016 3:40,54,-29.792,-63.617,-58.6542,4.9628
20,2016p160705_1,33,1,-32,-22.73321212,-20.259,2.474212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.28621212,-60.812,2.47421212
21,2016p160705_2,2,1,-1,-13.9815,-16.52,-2.5385,2016p160705,2,19.79110527,3.171582444,159331.8795,8.307,2/29/2016 11:05,60,-32.246,-54.5345,-57.073,-2.5385
22,2016p160705_3,6,2,-4,-11.38966667,-10.729,0.660666667,2016p160705,3,19.79110527,3.171582444,108722.7931,19.632,2/29/2016 11:05,60,-20.921,-51.94266667,-51.282,0.66066667
23,2016p160705_4,5,4,-1,-13.3292,-13.6735,-0.3443,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60,-32.625,-53.8822,-54.2265,-0.3443
24,2016p160705_5,3,4,1,-19.28966667,-17.1665,2.123166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.84266667,-57.7195,2.12316667
25,2016p162941_1,1,3,2,-12.128,-12.37733333,-0.249333333,2016p162941,1,11.76574802,3.135690182,170725.9449,8.521,3/1/2016 6:57,61,-32.032,-52.681,-52.93033333,-0.24933333
