"","publicid","origintime","longitude","latitude","magnitude","depth","Date","Time","DateTime","DateTime_PreviousQuake","HoursBetween","swarm","EventID","quakes_in_swarm","swarm_duration"
"26","2016p196004","2016-03-13T12:31:21.837Z",172.2995976,-41.74842931,3.422860111,82.8125,2016-03-13,"12:31:21",2016-03-13 12:31:21,2016-03-11 11:21:19,48.1672222222222,FALSE,30,1,0
"27","2016p205021","2016-03-16T20:35:20.825Z",173.0705872,-42.27165222,3.039768495,12,2016-03-16,"20:35:20",2016-03-16 20:35:20,2016-03-14 17:38:12,50.9522222222222,FALSE,32,1,0
"28","2016p219547","2016-03-22T05:34:56.964Z",173.0157838,-42.27105083,3.780000638,23.984375,2016-03-22,"05:34:56",2016-03-22 05:34:56,2016-03-16 20:35:20,128.993333333333,FALSE,33,1,0
"29","2016p223944","2016-03-23T20:37:50.161Z",175.0842939,-39.24979076,3.439265874,27.1484375,2016-03-23,"20:37:50",2016-03-23 20:37:50,2016-03-23 10:27:16,10.1761111111111,FALSE,35,1,0
"30","2016p232377","2016-03-26T23:30:57.641Z",174.8699951,-40.12363434,3.56481686,18.63004875,2016-03-26,"23:30:57",2016-03-26 23:30:57,2016-03-24 19:27:14,52.0619444444444,FALSE,37,1,0
"31","2016p234061","2016-03-27T14:28:03.939Z",174.4492695,-40.7021857,3.727897843,63.59375,2016-03-27,"14:28:03",2016-03-27 14:28:03,2016-03-26 23:30:57,14.9516666666667,FALSE,38,1,0
"32","2016p237473","2016-03-28T20:45:52.960Z",172.6182861,-41.25126648,3.560914765,197.5764618,2016-03-28,"20:45:52",2016-03-28 20:45:52,2016-03-27 14:28:03,30.2969444444444,FALSE,39,1,0
"33","2016p242416","2016-03-30T16:39:40.734Z",174.1213531,-42.28187561,3.134148491,12.38349438,2016-03-30,"16:39:40",2016-03-30 16:39:40,2016-03-28 20:45:52,43.8966666666667,FALSE,40,1,0
"34","2016p252391","2016-04-03T09:14:50.243Z",175.1691895,-38.74386597,3.148644062,242.8301697,2016-04-03,"09:14:50",2016-04-03 09:14:50,2016-04-01 02:00:04,55.2461111111111,FALSE,42,1,0
"35","2016p257730","2016-04-05T08:39:06.121Z",172.478468,-40.52150414,3.24865703,346.25,2016-04-05,"08:39:06",2016-04-05 08:39:06,2016-04-04 20:01:46,12.6222222222222,FALSE,44,1,0
"36","2016p263259","2016-04-07T09:44:47.060Z",174.4049683,-41.54577637,3.247858798,9.487145424,2016-04-07,"09:44:47",2016-04-07 09:44:47,2016-04-05 08:39:06,49.0947222222222,FALSE,45,1,0
"37","2016p266218","2016-04-08T12:01:13.827Z",174.5556488,-39.40223312,3.559854274,146.0439301,2016-04-08,"12:01:13",2016-04-08 12:01:13,2016-04-07 09:44:47,26.2738888888889,FALSE,46,1,0
"38","2016p278449","2016-04-13T00:38:09.135Z",174.9245148,-40.36644363,3.026658673,32.49965286,2016-04-13,"00:38:09",2016-04-13 00:38:09,2016-04-12 06:47:33,17.8433333333333,FALSE,49,1,0
"39","2016p283637","2016-04-14T22:43:21.032Z",174.7835846,-39.37581253,3.485644509,147.9259491,2016-04-14,"22:43:21",2016-04-14 22:43:21,2016-04-13 00:38:09,46.0866666666667,FALSE,50,1,0
"40","2016p284758","2016-04-15T08:39:35.997Z",175.3275365,-39.11878895,3.066144396,13.7890625,2016-04-15,"08:39:35",2016-04-15 08:39:35,2016-04-14 22:43:21,9.93722222222222,FALSE,51,1,0
"41","2016p300395","2016-04-21T03:30:35.700Z",174.9589386,-38.95147705,3.025388765,199.8073578,2016-04-21,"03:30:35",2016-04-21 03:30:35,2016-04-15 08:39:35,138.85,FALSE,52,1,0
"42","2016p303279","2016-04-22T05:07:18.635Z",174.9901428,-39.50875854,3.052875824,22.19772911,2016-04-22,"05:07:18",2016-04-22 05:07:18,2016-04-21 03:30:35,25.6119444444444,FALSE,53,1,0
"43","2016p305861","2016-04-23T04:02:46.694Z",174.8325348,-39.11539078,3.208335108,189.5749817,2016-04-23,"04:02:46",2016-04-23 04:02:46,2016-04-22 05:07:18,22.9244444444444,FALSE,54,1,0
"44","2016p311825","2016-04-25T09:00:51.764Z",174.2468109,-39.62550354,3.156995044,190.3023834,2016-04-25,"09:00:51",2016-04-25 09:00:51,2016-04-24 14:32:21,18.475,FALSE,56,1,0
"45","2016p314642","2016-04-26T10:01:30.520Z",173.4910431,-40.25192261,3.056890125,178.4654388,2016-04-26,"10:01:30",2016-04-26 10:01:30,2016-04-25 09:00:51,25.0108333333333,FALSE,57,1,0
"46","2016p316432","2016-04-27T01:56:36.144Z",174.6053467,-40.00694656,3.333907955,93.63026428,2016-04-27,"01:56:36",2016-04-27 01:56:36,2016-04-26 10:01:30,15.9183333333333,FALSE,58,1,0
"47","2016p321165","2016-04-28T19:57:13.414Z",174.5224601,-40.97876701,3.794711477,39.921875,2016-04-28,"19:57:13",2016-04-28 19:57:13,2016-04-27 01:56:36,42.0102777777778,FALSE,59,1,0
"48","2016p332674","2016-05-03T02:09:00.674Z",174.2251892,-39.61403275,3.202176273,181.1904297,2016-05-03,"02:09:00",2016-05-03 02:09:00,2016-04-28 19:57:13,102.196388888889,FALSE,60,1,0
"49","2016p336534","2016-05-04T12:25:28.214Z",173.8195496,-39.83924866,3.106123037,194.5833435,2016-05-04,"12:25:28",2016-05-04 12:25:28,2016-05-03 02:09:00,34.2744444444444,FALSE,61,1,0
"50","2016p337803","2016-05-04T23:41:34.553Z",174.6525574,-41.04477692,3.053528429,21.90081215,2016-05-04,"23:41:34",2016-05-04 23:41:34,2016-05-04 12:25:28,11.2683333333333,FALSE,62,1,0
"51","2016p344173","2016-05-07T08:15:55.136Z",174.7011566,-38.88910675,3.14994983,15.10159111,2016-05-07,"08:15:55",2016-05-07 08:15:55,2016-05-04 23:41:34,56.5725,FALSE,63,1,0
"52","2016p348351","2016-05-08T21:21:31.733Z",173.9010468,-42.04479218,3.127027398,26.30260468,2016-05-08,"21:21:31",2016-05-08 21:21:31,2016-05-07 08:15:55,37.0933333333333,FALSE,64,1,0
"53","2016p350583","2016-05-09T17:11:05.429Z",174.0997925,-41.71069336,3.051069922,10.84880543,2016-05-09,"17:11:05",2016-05-09 17:11:05,2016-05-08 21:21:31,19.8261111111111,FALSE,65,1,0
"54","2016p361097","2016-05-13T14:32:31.227Z",175.4980316,-39.31856918,3.035207333,11.22273731,2016-05-13,"14:32:31",2016-05-13 14:32:31,2016-05-12 06:15:23,32.2855555555556,FALSE,67,1,0
"55","2016p383528","2016-05-21T21:43:45.577Z",171.4115143,-42.34521866,3.562150788,5,2016-05-21,"21:43:45",2016-05-21 21:43:45,2016-05-14 18:23:03,171.345,FALSE,69,1,0
"56","2016p389145","2016-05-23T23:36:26.290Z",174.0737457,-40.43613815,3.230236853,75.84237671,2016-05-23,"23:36:26",2016-05-23 23:36:26,2016-05-21 21:43:45,49.8780555555556,FALSE,70,1,0
"57","2016p394455","2016-05-25T22:45:50.389Z",175.191864,-40.52155304,3.152549179,24.72719193,2016-05-25,"22:45:50",2016-05-25 22:45:50,2016-05-23 23:36:26,47.1566666666667,FALSE,71,1,0
"58","2016p395423","2016-05-26T07:21:13.767Z",174.4039534,-41.50238864,4.292364972,14.609375,2016-05-26,"07:21:13",2016-05-26 07:21:13,2016-05-25 22:45:50,8.58972222222222,FALSE,72,1,0
"59","2016p397820","2016-05-27T04:38:50.874Z",172.7474213,-41.32100296,3.421201313,135.8382874,2016-05-27,"04:38:50",2016-05-27 04:38:50,2016-05-26 07:21:13,21.2936111111111,FALSE,73,1,0
"60","2016p403752","2016-05-29T09:19:05.692Z",173.5915254,-39.61192152,3.160531475,21.40625,2016-05-29,"09:19:05",2016-05-29 09:19:05,2016-05-27 04:38:50,52.6708333333333,FALSE,74,1,0
"61","2016p416905","2016-06-03T06:07:10.260Z",172.7305197,-41.40048407,3.019163329,125.9375,2016-06-03,"06:07:10",2016-06-03 06:07:10,2016-05-29 09:19:05,116.801388888889,FALSE,75,1,0
"62","2016p418574","2016-06-03T20:56:19.051Z",173.9619751,-39.68439865,3.42426739,189.222641,2016-06-03,"20:56:19",2016-06-03 20:56:19,2016-06-03 06:07:10,14.8191666666667,FALSE,76,1,0
"63","2016p419631","2016-06-04T06:19:44.432Z",172.7917328,-41.33234787,3.059940763,127.8037643,2016-06-04,"06:19:44",2016-06-04 06:19:44,2016-06-03 20:56:19,9.39027777777778,FALSE,77,1,0
"64","2016p424085","2016-06-05T21:52:46.537Z",172.8458405,-41.31033325,3.560707766,135.2788239,2016-06-05,"21:52:46",2016-06-05 21:52:46,2016-06-04 06:19:44,39.5505555555556,FALSE,78,1,0
"65","2016p427491","2016-06-07T04:07:36.873Z",174.2951813,-40.1048317,3.678503189,85.86700439,2016-06-07,"04:07:36",2016-06-07 04:07:36,2016-06-05 21:52:46,30.2472222222222,FALSE,79,1,0
"66","2016p438469","2016-06-11T05:36:30.259Z",174.8211975,-40.17793274,3.292279163,13.45981407,2016-06-11,"05:36:30",2016-06-11 05:36:30,2016-06-07 04:07:36,97.4816666666667,FALSE,80,1,0
"67","2016p439634","2016-06-11T15:57:01.175Z",174.1778107,-41.61011505,4.482469633,20.67872238,2016-06-11,"15:57:01",2016-06-11 15:57:01,2016-06-11 05:36:30,10.3419444444444,FALSE,81,1,0
"68","2016p445360","2016-06-13T18:47:51.244Z",175.3684387,-38.72816086,3.401255055,5,2016-06-13,"18:47:51",2016-06-13 18:47:51,2016-06-11 15:57:01,50.8472222222222,FALSE,82,1,0
"69","2016p452435","2016-06-16T09:37:58.403Z",175.1589203,-40.2265358,3.431327528,16.12910271,2016-06-16,"09:37:58",2016-06-16 09:37:58,2016-06-15 23:47:39,9.83861111111111,FALSE,84,1,0
"70","2016p468073","2016-06-22T04:30:57.666Z",174.2778473,-40.36727142,3.208220822,63.00486755,2016-06-22,"04:30:57",2016-06-22 04:30:57,2016-06-21 13:13:57,15.2833333333333,FALSE,87,1,0
"71","2016p470092","2016-06-22T22:25:30.059Z",174.9912872,-39.90846252,3.001803294,25.71006966,2016-06-22,"22:25:30",2016-06-22 22:25:30,2016-06-22 04:30:57,17.9091666666667,FALSE,88,1,0
"72","2016p474397","2016-06-24T12:38:43.743Z",174.4190826,-41.55581665,4.699558285,13.07592869,2016-06-24,"12:38:43",2016-06-24 12:38:43,2016-06-23 15:48:44,20.8330555555556,FALSE,90,1,0
"73","2016p484154","2016-06-28T03:17:34.822Z",174.553299,-40.46250153,3.472038397,64.13944244,2016-06-28,"03:17:34",2016-06-28 03:17:34,2016-06-24 12:38:43,86.6475,FALSE,91,1,0
"74","2016p489594","2016-06-30T03:35:59.437Z",174.3594971,-40.19781876,3.237087291,16.48026657,2016-06-30,"03:35:59",2016-06-30 03:35:59,2016-06-29 08:41:48,18.9030555555556,FALSE,93,1,0
"75","2016p500086","2016-07-04T00:45:50.521Z",174.0172577,-41.70619583,4.571879794,9.389575005,2016-07-04,"00:45:50",2016-07-04 00:45:50,2016-06-30 03:35:59,93.1641666666667,FALSE,94,1,0
"76","2016p504912","2016-07-05T19:37:33.662Z",171.9709473,-41.76927185,3.181705731,5.368735313,2016-07-05,"19:37:33",2016-07-05 19:37:33,2016-07-04 21:46:11,21.8561111111111,FALSE,96,1,0
"77","2016p510723","2016-07-07T23:13:18.111Z",172.9151001,-40.9363327,3.006538856,181.9057617,2016-07-07,"23:13:18",2016-07-07 23:13:18,2016-07-05 19:37:33,51.5958333333333,FALSE,97,1,0
"78","2016p523055","2016-07-12T12:43:47.664Z",173.7305298,-40.89925385,3.484732691,75.76390839,2016-07-12,"12:43:47",2016-07-12 12:43:47,2016-07-07 23:13:18,109.508055555556,FALSE,98,1,0
"79","2016p536235","2016-07-17T09:46:00.742Z",172.5934753,-41.28293991,3.031329758,114.9866791,2016-07-17,"09:46:00",2016-07-17 09:46:00,2016-07-13 04:42:07,101.064722222222,FALSE,100,1,0
"80","2016p542615","2016-07-19T18:25:39.984Z",172.8209839,-41.80269241,3.021564697,64.42922974,2016-07-19,"18:25:39",2016-07-19 18:25:39,2016-07-17 09:46:00,56.6608333333333,FALSE,101,1,0
"81","2016p573056","2016-07-31T00:44:28.640Z",173.7881165,-40.24529266,3.274301458,141.5892944,2016-07-31,"00:44:28",2016-07-31 00:44:28,2016-07-30 10:48:47,13.9280555555556,FALSE,104,1,0
"82","2016p575040","2016-07-31T18:21:29.468Z",174.5302429,-40.73332596,3.001402388,59.36355972,2016-07-31,"18:21:29",2016-07-31 18:21:29,2016-07-31 00:44:28,17.6169444444444,FALSE,105,1,0
"83","2016p580594","2016-08-02T19:40:45.217Z",174.7728424,-39.15839005,3.147649022,207.4460754,2016-08-02,"19:40:45",2016-08-02 19:40:45,2016-07-31 18:21:29,49.3211111111111,FALSE,106,1,0
"84","2016p589481","2016-08-06T02:35:53.844Z",172.2301644,-41.79064038,3.598349017,6.640625,2016-08-06,"02:35:53",2016-08-06 02:35:53,2016-08-05 15:12:19,11.3927777777778,FALSE,108,1,0
